Course_Lang,Remarks,Int_Fees,Country,Face_to_Face,Website,Prerequisite_1,Faculty,Blended,Description,University,Prerequisite_1_grade_1,Level_Code,Career_Outcomes/path,Duration_Time,Local_Fees,Online,City,Currency,Prerequisite_3_grade_3,Course,Prerequisite_3,Availability,Prerequisite_2_grade_2,Offline,Currency_Time,Duration,Full_Time,Prerequisite_2,Part_Time,Distance
English,,"33,600",Australia,Yes,https://www.ecu.edu.au/degrees/courses/bachelor-of-health-science,ATAR,Science,No,"Health science is the study of the physical, psychological, social, and environmental dimensions of health. Students graduate with practical and theoretical knowledge and skills in communication, teamwork, critical thinking, innovation, and cross-cultural and international awareness. They are highly sought after and can select from a range of interesting and dynamic career pathways. Students can choose to undertake two eight-unit majors, or a major and minor, in these disciplines: Addiction Studies, Health Promotion, Nutrition, Occupational Safety and Health. Alternatively, students can undertake one 16-unit major in Nutrition Bioscience or Occupational and Environmental Health. A minor in Youth Work is also available.",Edith Cowan University,70,BA,"Community Health Officer, Environmental Health Officer, Youth Worker, Child Health Officer, Health Promotion Officer, Health Worker, Nutritionist, Health Promotion Nutritionist, Occupational Safety and Health Management Officer, Occupational Hygiene Technician",Years,"9,950",Yes,Perth,AUD,Year 12,Bachelor of Health Science,Equivalent ,A,6.0,Yes,Years,3.0,Yes,IELTS,No,Yes
English,,"33,600",Australia,Yes,https://www.ecu.edu.au/degrees/courses/bachelor-of-health-science,ATAR,Science,No,"Health science is the study of the physical, psychological, social, and environmental dimensions of health. Students graduate with practical and theoretical knowledge and skills in communication, teamwork, critical thinking, innovation, and cross-cultural and international awareness. They are highly sought after and can select from a range of interesting and dynamic career pathways. Students can choose to undertake two eight-unit majors, or a major and minor, in these disciplines: Addiction Studies, Health Promotion, Nutrition, Occupational Safety and Health. Alternatively, students can undertake one 16-unit major in Nutrition Bioscience or Occupational and Environmental Health. A minor in Youth Work is also available.",Edith Cowan University,70,BA,"Community Health Officer, Environmental Health Officer, Youth Worker, Child Health Officer, Health Promotion Officer, Health Worker, Nutritionist, Health Promotion Nutritionist, Occupational Safety and Health Management Officer, Occupational Hygiene Technician",Years,"9,950",Yes,Bunbury,AUD,Year 12,Bachelor of Health Science,Equivalent ,A,6.0,Yes,Years,3.0,Yes,IELTS,No,Yes
English,,"31,850",Australia,Yes,https://www.ecu.edu.au/degrees/courses/bachelor-of-hospitality-and-tourism-management,ATAR,Business and Law,Yes,"It also features specialised units in food and beverage management, rooms division management, tourism planning and development, ecotourism, managing the service experience and event management. Students can further specialise their studies with a stronger focus in various fields, such as event management, marketing, human resource management, and international business. The hospitality and tourism industry is dynamic and fast-paced, presenting graduates with a wide variety of career options to choose from, and the course provides students the industry-focused theoretical knowledge and skills to succeed. Graduates will gain the essential competencies and professional perspectives required by middle and senior levels of management in contemporary hospitality and tourism organisations.",Edith Cowan University,70,BA,"Hotel Manager, Resort Manager, Food and Beverage Manager, Front Office Manager, Hotel Sales Manager, Tour Operator, Visitor Centre Manager, Theme Park Manager, Cruise Ship Supervisor, Eco-tourism Operator",Years,"11,400",Yes,Perth,AUD,Year 12,Bachelor of Hospitality and Tourism Management,Equivalent ,A,6.0,Yes,Years,3.0,Yes,IELTS,Yes,Yes
English,,"34,050",Australia,Yes,https://www.ecu.edu.au/degrees/courses/bachelor-of-information-technology,ATAR,Science,Yes,"The course places an emphasis on critical thinking and problem solving alongside discipline knowledge and skills, providing students with the opportunity to undertake complex information technology projects both independently and in teams. Students are introduced to concepts including programming, mathematics, networking, databases and cyber security in their foundation year, before developing advanced skills in information technology, including web development, data management and visualisation in an enterprise context, IT security management and project management. ",Edith Cowan University,70,BA,"Computer Support Officer, Systems Analyst, IT Consultant, Systems Administrator, Software Support Officer, Project Manager, Systems Integrator, Data Analyst",Years,"9,700",Yes,Perth,AUD,Year 12,Bachelor of Information Technology,Equivalent ,A,6.0,Yes,Years,3.0,Yes,IELTS,Yes,Yes
English,,"31,850",Australia,Yes,https://www.ecu.edu.au/degrees/courses/bachelor-of-laws-graduate-entry,ATAR,Business and Law,Yes,"For students seeking a career in law, this course equips them with skills for the courtroom and beyond, providing greater scope and options for a rewarding career in the legal, corporate, commercial and social justice fields. Students can add value to their degree by selecting elective units in specialised areas of law. Students may also participate in the Law Society Peer Mentoring Program, The Innocence Project, The Law Access Program and international mooting competitions to give them real-world experience and the competitive edge in the job market.",Edith Cowan University, ,BA,"Lawyer, Barrister, Solicitor, Legal Practitioner, Judge's Associate, In-house Counsel, Community Legal Adviser, Government Legal Officer",Years,"11,400",Yes,Perth,AUD,Year 12,Bachelor of Laws (Graduate Entry),Equivalent ,A,6.0,Yes,Years,3.0,Yes,IELTS,Yes,Yes
English,,"31,850",Australia,Yes,https://www.ecu.edu.au/degrees/courses/bachelor-of-laws,ATAR,Business and Law,Yes,"Students can add value to their degree by selecting elective units in specialised areas of law. Students may also participate in the Law Society Peer Mentoring Program, The Innocence Project, The Law Access Program and international mooting competitions to give them real-world experience and the competitive edge in the job market.",Edith Cowan University,85,BA,"Lawyer, Barrister, Solicitor, Legal Practitioner, Courts Administrator, Civil Service Administrator, Tax Inspector, In-house/Community Legal Adviser, Legal Publisher, Foreign Affairs & Trade Officer",Years,"11,400",Yes,Perth,AUD,Year 12,Bachelor of Laws,Equivalent ,A,6.0,Yes,Years,4.0,Yes,IELTS,Yes,Yes
English,,"35,850",Australia,Yes,https://www.ecu.edu.au/degrees/courses/bachelor-of-laws-bachelor-of-commerce,ATAR,Business and Law,No,"Students can study two degrees in five-years and will graduate not only job ready but industry ready. The majors included in this course were created in consultation with industry and many are professionally recognised and accredited with the relevant industry bodies. Students also benefit from practical work based industry experience, networking opportunities and career portfolio development. The course equips students with skills for the courtroom and beyond, providing greater scope and options for a rewarding career in the legal, corporate, commercial and social justice fields. Students can also add value to their law degree by selecting elective units in specialised areas of law. Students may also participate in the Law Society Peer Mentoring Program, The Innocence Project, The Law Access Program and international mooting competitions to give them real world experience and the competitive edge in the job market.",Edith Cowan University,85,BA,"Company Secretary, Corporate Lawyer, Legal Executive, In-house Counsel, Legal Advisor, Legal Practitioner, Barrister, Solicitor",Years,"12,800",Yes,Perth,AUD,Year 12,Bachelor of Laws Bachelor of Commerce,Equivalent ,A,6.0,Yes,Years,5.0,Yes,IELTS,No,Yes
English,, ,Australia,Yes,https://www.ecu.edu.au/degrees/courses/bachelor-of-laws-bachelor-of-criminology-and-justice,ATAR,Business and Law,No,"For students seeking a career in law, the course equips them with skills for the courtroom and beyond, providing greater scope and options for a rewarding career in the legal, corporate, commercial and social justice fields. Students can add value to their law degree by selecting elective units in specialised areas of law. Students may also participate in the Law Society Peer Mentoring Program, The Innocence Project, The Law Access Program and international mooting competitions to give them real world experience and the competitive edge in the job market. The Criminology and Justice component is designed for students with an interest in criminology, social justice and the justice system. It provides a comprehensive understanding of the nature of criminology and justice and the principal disciplines of law, political science, psychology and sociology. Students examine the nature of crime and social control, as well as a broad range of areas in the domain of justice, including policing, courts, law, corrections, family law and conflict management.",Edith Cowan University,85,BA,,Years,"11,350",Yes,Perth,AUD,Year 12,Bachelor of Laws Bachelor of Criminology and Justice,Equivalent ,D,6.0,Yes,Years,5.0,Yes,IELTS,Yes,Yes
English,,"42,050",Australia,Yes,https://www.ecu.edu.au/degrees/courses/bachelor-of-laws-bachelor-of-psychology,ATAR,Business and Law,No,"For students seeking a career in law, the course equips them with skills for the courtroom and beyond, providing greater scope and options for a rewarding career in the legal, corporate, commercial and social justice fields. Students can add value to their law degree by selecting elective units in specialised areas of law. Students may also participate in the Law Society Peer Mentoring Program, The Innocence Project, The Law Access Program and international mooting competitions to give them real world experience and the competitive edge in the job market. The Bachelor of Psychology focuses on issues of social change, group processes, group management, and cross-cultural psychology.",Edith Cowan University,85,BA,"Psychologist, Lawyer, Solicitor, Legal Practitioner, Community Legal Adviser, Legal Publisher, Local Government Officer",Years,"11,350",Yes,Perth,AUD,Year 12,Bachelor of Laws Bachelor of Psychology,Equivalent ,A,6.0,Yes,Years,5.0,Yes,IELTS,No,Yes
English,,"31,450",Australia,Yes,https://www.ecu.edu.au/degrees/courses/bachelor-of-marketing-advertising-and-public-relations,ATAR,Business and Law,Yes,"The combination of marketing, advertising and public relations allows students to diversify their creative skills and strategic business management knowledge, as well as gaining the employability skills, including critical thinking, teamwork, communication and problem-solving, needed for a successful career in industry. Marketing is directed towards the creation of best satisfying products and the building of successful brands. This course provides students with the marketing skills and knowledge required to analyse customer needs, identify organisational objectives, market conditions and existing product offerings, and enables them to design, develop, and evaluate a marketing action plan. Advertising combines art, science and strategy, in addition with Public Relations which develops communications practice in a variety of contexts. Students will gain the skills required to attract new customers, retain existing customers and to enhance the relationship with the product, brand, or organisation. Students will gain practical experience in both traditional and digital media and create portfolios that showcase their talents.",Edith Cowan University,70,BA,"Marketing Manager, Brand Manager, Product Manager, Business Development Manager, Market Researcher, Media Planner, Advertising and Promotions Manager, Copywriter, Desktop Publisher, Public Relations Manager",Years,"11,400",Yes,Perth,AUD,Year 12,"Bachelor of Marketing, Advertising and Public Relations",Equivalent ,A,6.0,Yes,Years,3.0,Yes,IELTS,Yes,Yes
