Level_Code,University,City,Course,Faculty,Local_Fees,Int_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes/path,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
DIP,Charles Darwin University,Online,Diploma of Alcohol and Other Drugs,College of Health and Human Sciences,CSP supported,"25,328.00",AUD,Years,1.0,Year,Yes,Yes,ATAR,IELTS,Equivalent ,,6.0,Year 12,https://www.cdu.edu.au/study/diploma-alcohol-and-other-drugs-yaod01-2021,English,A,"Whether you are looking to broaden your awareness or build on your professional skill set, the Diploma of Alcohol and Other Drugs will expand your knowledge in these areas.","This course complements your current qualifications and may prepare you for advanced career opportunities within education, nursing, social work, indigenous studies, health sciences and related areas.",Australia,Yes,Yes,Yes,Yes,Yes,
DIP,Charles Darwin University,Darwin,Diploma of Counselling,College of Health and Human Sciences,CSP supported,"28,224.00",AUD,Years,1.0,Year,Yes,Yes,ATAR,IELTS,Equivalent ,,6.0,Year 12,https://www.cdu.edu.au/study/diploma-counselling-ycoun1-2021,English,A,Do you seek a career that will make a positive impact on the health and well-being of those in your community? Or perhaps you are wanting to build on your knowledge in human services? The Diploma of Counselling may be the course you are looking for.,"This qualification will complement your existing professional career, or it may prepare you for career opportunities in counselling-related fields in government, private companies, non-government organisations (NGO) and community groups.",Australia,Yes,Yes,Yes,Yes,Yes,
DIP,Charles Darwin University,Online,Diploma of Counselling,College of Health and Human Sciences,CSP supported,"28,224.00",AUD,Years,1.0,Year,Yes,Yes,ATAR,IELTS,Equivalent ,,6.0,Year 12,https://www.cdu.edu.au/study/diploma-counselling-ycoun1-2021,English,A,Do you seek a career that will make a positive impact on the health and well-being of those in your community? Or perhaps you are wanting to build on your knowledge in human services? The Diploma of Counselling may be the course you are looking for.,"This qualification will complement your existing professional career, or it may prepare you for career opportunities in counselling-related fields in government, private companies, non-government organisations (NGO) and community groups.",Australia,Yes,Yes,Yes,Yes,Yes,
DIP,Charles Darwin University,Darwin,Diploma of Psychology,College of Health and Human Sciences,CSP supported,"28,224.00",AUD,Years,1.0,Year,Yes,Yes,ATAR,IELTS,Equivalent ,,6.0,Year 12,https://www.cdu.edu.au/study/diploma-psychology-ypsy01-2021,English,A,Want to study psychology without committing a full undergraduate degree? The Diploma of Psychology is what you are looking for.,"This qualification will complement your existing professional career, or it may prepare you for career opportunities in various psychology-related fields in government, private companies, non-government organisations (NGO) and community groups.",Australia,Yes,Yes,Yes,Yes,Yes,
DIP,Charles Darwin University,Online,Diploma of Psychology,College of Health and Human Sciences,CSP supported,"28,224.00",AUD,Years,1.0,Year,Yes,Yes,ATAR,IELTS,Equivalent ,,6.0,Year 12,https://www.cdu.edu.au/study/diploma-psychology-ypsy01-2021,English,A,Want to study psychology without committing a full undergraduate degree? The Diploma of Psychology is what you are looking for.,"This qualification will complement your existing professional career, or it may prepare you for career opportunities in various psychology-related fields in government, private companies, non-government organisations (NGO) and community groups.",Australia,Yes,Yes,Yes,Yes,Yes,
BA,Charles Darwin University,Darwin,Bachelor of Public Health,College of Health and Human Sciences,CSP supported,"30,240.00",AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,,6.0,Year 12,https://www.cdu.edu.au/study/bachelor-public-health-wpubh1-2021,English,A,"If you are interested in connecting with communities and working to develop innovative and evidence-based health strategies, CDU's Bachelor of Public Health is perfect for you.","Graduating from this course may lead to career opportunities in areas such as Primary and Community health centres, Health project officer, Health promotion practitioner, Health policy development, Education facilities, Mental health settings, Alcohol and drug services, Non-government organisations, Universities and research facilities, Research officer, Rural and remote health settings, Corporate and industrial settings, Supported employment and government departments.",Australia,Yes,Yes,Yes,Yes,Yes,
BA,Charles Darwin University,Online,Bachelor of Public Health,College of Health and Human Sciences,CSP supported,"30,240.00",AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,,6.0,Year 12,https://www.cdu.edu.au/study/bachelor-public-health-wpubh1-2021,English,A,"If you are interested in connecting with communities and working to develop innovative and evidence-based health strategies, CDU's Bachelor of Public Health is perfect for you.","Graduating from this course may lead to career opportunities in areas such as Primary and Community health centres, Health project officer, Health promotion practitioner, Health policy development, Education facilities, Mental health settings, Alcohol and drug services, Non-government organisations, Universities and research facilities, Research officer, Rural and remote health settings, Corporate and industrial settings, Supported employment and government departments.",Australia,Yes,Yes,Yes,Yes,Yes,
BA,Charles Darwin University,Darwin,Bachelor of Clinical Sciences,College of Health and Human Sciences,CSP supported,N/A,AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,,6.0,Year 12,https://www.cdu.edu.au/study/bachelor-clinical-sciences-wcsci1-2021,English,D,"The Bachelor of Clinical Sciences course is a direct pathway for CDU students to study medicine, on campus in Darwin. This course is part of a double degree with the Northern Territory Medical Program (NTMP) offered by Flinders University. Australian citizen or permanent resident school leavers with year 12 qualifications, or higher education students who have studied for no more than one year are eligible for consideration for entry.",Graduating from this course completes the first part of the Bachelor of Clinical Sciences/Doctor of Medicine (CDU/Flinders University) double degree and may lead to career opportunities in medicine or medical research.,Australia,No,Yes,No,Yes,Yes,
BA,Charles Darwin University,Darwin,Bachelor of Environmental Science,"College of Engineering, IT and Environment",CSP supported,"32,336.00",AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,,6.0,Year 12,https://www.cdu.edu.au/study/bachelor-environmental-science-wenvs1-2021,English,A,"With the Bachelor of Environmental Science your academic studies will be combined with practical experience, allowing you to play an active role in the protection and conservation of the environment.","Graduating from this course prepares you with the skills and knowledge to work within government, private companies or community organisations, in areas including environment and heritage, biodiversity conservation, land and water resource management, mine site rehabilitation, nature-based tourism, Aboriginal land management, wildlife and reserve management, land-care, teaching, consultancy or environmental research.",Australia,Yes,Yes,Yes,Yes,Yes,
BA,Charles Darwin University,Online,Bachelor of Environmental Science,"College of Engineering, IT and Environment",CSP supported,"32,336.00",AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,,6.0,Year 12,https://www.cdu.edu.au/study/bachelor-environmental-science-wenvs1-2021,English,A,"With the Bachelor of Environmental Science your academic studies will be combined with practical experience, allowing you to play an active role in the protection and conservation of the environment.","Graduating from this course prepares you with the skills and knowledge to work within government, private companies or community organisations, in areas including environment and heritage, biodiversity conservation, land and water resource management, mine site rehabilitation, nature-based tourism, Aboriginal land management, wildlife and reserve management, land-care, teaching, consultancy or environmental research.",Australia,Yes,Yes,Yes,Yes,Yes,
