Face_to_Face,Prerequisite_2,Currency_Time,Course_Lang,Faculty,Availability,Offline,Prerequisite_2_grade_2,Level_Code,Part_Time,Duration_Time,Website,University,Full_Time,Description,Country,Distance,Duration,Int_Fees,Online,Prerequisite_1_grade_1,Prerequisite_1,Course,City,Currency,Blended,Remarks
Yes,Equivalent AQF Degree Level,Years,English,Business & Economics,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/banking-and-finance-b2042?international=true,Monash University,Yes,"If you're keen to make decisions based on rigorous financial analysis, a Bachelor of Banking and Finance may be the right course for you. Delve into the complexities of the banking and finance sector and gain the skills to manage money in an institutional setting.",Australia,No,3.0,"45,000",No,6.5,IELTS,Banking and Finance,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Medical and Nursing,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/biomedical-science-m2003?international=true,Monash University,Yes,"The Bachelor of Biomedical Science helps you understand disease, how it occurs and how we can prevent it to better improve quality of life. This multidisciplinary course offers units relating to biomedical chemistry, bioinformatics and human genetics. Graduates of this course will pursue careers in research, teaching, health promotion and much more.",Australia,No,3.0,"41,900",No,6.5,IELTS,Biomedical Science,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Medical and Nursing,A,Yes,Year 12,BA,No,Year,https://www.monash.edu/study/courses/find-a-course/2021/biomedical-science-m3702?international=true,Monash University,Yes,"The Bachelor of Biomedical Science helps you understand disease, how it occurs and how we can prevent it to better improve quality of life. This multidisciplinary course offers units relating to biomedical chemistry, bioinformatics and human genetics. Graduates of this course will pursue careers in research, teaching, health promotion and much more.",Australia,No,1.0,"42,000",No,6.5,IELTS,Biomedical Science,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Medical and Nursing,A,Yes,Year 12,BA,No,Year,https://www.monash.edu/study/courses/find-a-course/2021/business-business-education-2647?international=true,Monash University,Yes,"The Bachelor of Biomedical Science helps you understand disease, how it occurs and how we can prevent it to better improve quality of life. This multidisciplinary course offers units relating to biomedical chemistry, bioinformatics and human genetics. Graduates of this course will pursue careers in research, teaching, health promotion and much more.",Australia,No,1.0,"42,000",No,6.5,IELTS,Biomedical Science,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Medical and Nursing,A,Yes,Year 12,BA,No,Year,https://www.monash.edu/study/courses/find-a-course/2021/business-business-2607?international=true,Monash University,Yes,"The Bachelor of Biomedical Science helps you understand disease, how it occurs and how we can prevent it to better improve quality of life. This multidisciplinary course offers units relating to biomedical chemistry, bioinformatics and human genetics. Graduates of this course will pursue careers in research, teaching, health promotion and much more.",Australia,No,1.0,"42,000",No,6.5,IELTS,Biomedical Science,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Medical and Nursing,A,Yes,Year 12,BA,No,Year,https://www.monash.edu/study/courses/find-a-course/2021/business-commerce-2608?international=true,Monash University,Yes,"The Bachelor of Biomedical Science helps you understand disease, how it occurs and how we can prevent it to better improve quality of life. This multidisciplinary course offers units relating to biomedical chemistry, bioinformatics and human genetics. Graduates of this course will pursue careers in research, teaching, health promotion and much more.",Australia,No,1.0,"42,000",No,6.5,IELTS,Biomedical Science,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Business & Economics,A,Yes,Year 12,BA,No,Year,https://www.monash.edu/study/courses/find-a-course/2021/business-b2000?international=true,Monash University,Yes,"A Bachelor of Business will delve into the dynamic world of business and what makes organisations, brands and markets function effectively. How are brands built? What causes stock markets to soar (and slide)? Why do some businesses boom and others fail? Explore all of these questions and more.",Australia,No,1.0,"45,000",No,6.5,IELTS,Business,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Business & Economics,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/business-administration-b2007?international=true,Monash University,Yes,"What have Uber, Boost and Deliveroo taught us? With a Bachelor of Business Administration you'll learn how entrepreneurial flair mixed with practical skills can turn a great idea into a booming business. Gain the business administration skills to manage an organisation or run your own business.",Australia,No,3.0,"45,000",No,6.5,IELTS,Business Administration,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Business & Economics,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/business-administration-and-arts-b2046?international=true,Monash University,Yes,"Why study a double degree in Business Administration and Arts? With Business Administration, you'll gain the crucial management and administration skills required for a career in business. With Arts, you can choose from almost 40 major and minor areas of study.",Australia,No,4.0,"45,000",No,6.5,IELTS,Business Administration and Arts,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Business & Economics,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/business-administration-and-arts-b2046?international=true,Monash University,Yes,"Why study a double degree in Business Administration and Arts? With Business Administration, you'll gain the crucial management and administration skills required for a career in business. With Arts, you can choose from almost 40 major and minor areas of study.",Australia,No,4.0,"45,000",No,6.5,IELTS,Business Administration and Arts,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Business & Economics,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/business-administration-and-arts-b2046?international=true,Monash University,Yes,"Why study a double degree in Business Administration and Arts? With Business Administration, you'll gain the crucial management and administration skills required for a career in business. With Arts, you can choose from almost 40 major and minor areas of study.",Australia,No,4.0,"45,000",No,6.5,IELTS,Business Administration and Arts,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Business & Economics,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/business-administration-and-media-communication-b2045?international=true,Monash University,Yes,"Why study Business Administration and Media Communication? With Business Administration, you'll gain crucial management and administration skills. With Media Communication, you'll develop your practical experience and build a portfolio of media communications work.",Australia,No,4.0,"45,000",No,6.5,IELTS,Business Administration and Media Communication,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Business & Economics,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/business-administration-and-media-communication-b2045?international=true,Monash University,Yes,"Why study Business Administration and Media Communication? With Business Administration, you'll gain crucial management and administration skills. With Media Communication, you'll develop your practical experience and build a portfolio of media communications work.",Australia,No,4.0,"45,000",No,6.5,IELTS,Business Administration and Media Communication,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Business & Economics,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/business-and-accounting-b2040?international=true,Monash University,Yes,"Why study a double degree in Business and Accounting? With Business, you'll explore a broad range of business disciplines - from finance and law to statistics and management. In Accounting, you'll learn to make strategic decisions about an organisation's financial and non-financial situation.",Australia,No,4.0,"45,000",No,6.5,IELTS,Business and Accounting,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Business & Economics,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/business-and-arts-b2019?international=true,Monash University,Yes,"Why study a double degree in Commerce and Arts? With Commerce, you'll learn how to think conceptually, solve problems analytically and use data to make informed decisions. With Arts, you can choose from almost 40 major and minor areas of study and explore your passions and career goals.",Australia,No,4.0,"45,000",No,6.5,IELTS,Business and Arts,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Business & Economics,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/business-and-banking-and-finance-b2035?international=true,Monash University,Yes,"Why study a double degree in Business and Banking and Finance? With Business, you'll explore everything from finance and law to statistics and management. With Banking and Finance, you'll build specialist financial knowledge and complete a research project or industry internship.",Australia,No,4.0,"45,000",No,6.5,IELTS,Business and Banking and Finance,Melbourne,AUD,No,
