Level_Code,University,City,Course,Faculty,Local_Fees,Int_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes/path,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
BA,University of Newcastle,Central Coast, Science (Advanced),Science,,"38,710 ",AUD,Years,3.0,Years,Yes,No,ATAR,IELTS,,95.00,6.0,,https://www.newcastle.edu.au/degrees/bachelor-of-science-advanced,English,A,"Gone are the days of a stereotypical scientist – in today’s society, there is no one type of scientist. Career opportunities are ever-evolving and exciting. You might work in a lab, discovering life-changing scientific breakthroughs. You could work in science education, sharing your passion and knowledge with the next generation. Maybe you see yourself using science to shape government policy – or something else entirely.","geological surveys, water quality, land degradation, drug discovery, ecology",Australia,No,Yes,,Yes,No,
BAH,University of Newcastle,Newcastle, Science (Honours),Science,,"38,515 ",AUD,Years,1.0,Year,Yes,No,ATAR,IELTS,,N/A,6.0,,https://www.newcastle.edu.au/degrees/bachelor-of-science-honours,English,A,"The program can be completed over one year of full-time study or part-time equivalent. Courses are offered on a semester basis, i.e. two semesters per year. The Bachelor of Science (Honours) is offered at Callaghan and Ourimbah Campuses.", ,Australia,No,Yes,,Yes,No,
BAH,University of Newcastle,Central Coast, Science (Honours),Science,,"38,515 ",AUD,Years,1.0,Year,Yes,No,ATAR,IELTS,,N/A,6.0,,https://www.newcastle.edu.au/degrees/bachelor-of-science-honours,English,A,"The program can be completed over one year of full-time study or part-time equivalent. Courses are offered on a semester basis, i.e. two semesters per year. The Bachelor of Science (Honours) is offered at Callaghan and Ourimbah Campuses.", ,Australia,No,Yes,,Yes,No,
BA,University of Newcastle,Newcastle, Social Science,Science,,"38,515 ",AUD,Years,3.0,Years,Yes,No,ATAR,IELTS,,62.00,6.0,,https://www.newcastle.edu.au/degrees/bachelor-of-social-science,English,A,Make your mark on the world by crafting new solutions to various social challenges.,"Aboriginal Cultural Educational Officer, Access and Equity Advisor, Archaeological Excavator, Community Development Worker, Community Project Officer, Community Services Worker, Coordinator of Social Services, Cultural Development Officer, Cultural Heritage Officer, Cultural Resource Manager, Development Manager (International Aid), Disability Services Officer, Electorate Officer, Foreign Affairs and Trade Officer, Immigration Officer, Media Planner, Multicultural Community Liaison, Parliamentarian/Member of Parliament/Politician, Policy Officer/Analyst, Political Advisor, Program Development Officer, Project Worker, Research Manager, Research Officer, Social Researcher, Social Scientist, Sociologist, Support Worker, University Lecturer/Academic, Welfare Officer, Youth Worker",Australia,No,Yes,,Yes,No,
BA,University of Newcastle,Central Coast, Social Science,Science,,"38,515 ",AUD,Years,3.0,Years,Yes,No,ATAR,IELTS,,62.00,6.0,,https://www.newcastle.edu.au/degrees/bachelor-of-social-science,English,A,Make your mark on the world by crafting new solutions to various social challenges.,"Aboriginal Cultural Educational Officer, Access and Equity Advisor, Archaeological Excavator, Community Development Worker, Community Project Officer, Community Services Worker, Coordinator of Social Services, Cultural Development Officer, Cultural Heritage Officer, Cultural Resource Manager, Development Manager (International Aid), Disability Services Officer, Electorate Officer, Foreign Affairs and Trade Officer, Immigration Officer, Media Planner, Multicultural Community Liaison, Parliamentarian/Member of Parliament/Politician, Policy Officer/Analyst, Political Advisor, Program Development Officer, Project Worker, Research Manager, Research Officer, Social Researcher, Social Scientist, Sociologist, Support Worker, University Lecturer/Academic, Welfare Officer, Youth Worker",Australia,No,Yes,,Yes,No,
BAH,University of Newcastle,Newcastle, Social Science (Honours),Science,,"29,115 ",AUD,Years,1.0,Year,Yes,No,ATAR,IELTS,,N/A,6.0,,https://www.newcastle.edu.au/degrees/bachelor-of-social-science-honours,English,A," Students who perform well, with a GPA of 5.0 or greater, during the Bachelor of Social Science program or equivalent program and/or relevant discipline major, may undertake a further year of full-time (or equivalent part-time) study to obtain an Honours degree. The Honours program allows students to further develop their specific areas of interest.", ,Australia,No,Yes,,Yes,No,
BAH,University of Newcastle,Central Coast, Social Science (Honours),Science,,"29,115 ",AUD,Years,1.0,Year,Yes,No,ATAR,IELTS,,N/A,6.0,,https://www.newcastle.edu.au/degrees/bachelor-of-social-science-honours,English,A," Students who perform well, with a GPA of 5.0 or greater, during the Bachelor of Social Science program or equivalent program and/or relevant discipline major, may undertake a further year of full-time (or equivalent part-time) study to obtain an Honours degree. The Honours program allows students to further develop their specific areas of interest.", ,Australia,No,Yes,,Yes,No,
BAH,University of Newcastle,Newcastle, Social Work (Honours),Education & Arts,,"29,115 ",AUD,Years,4.0,Years,Yes,No,ATAR,IELTS,,75.00,7.0,,https://www.newcastle.edu.au/degrees/bachelor-of-social-work-honours,English,A,Do you dream of a purpose-driven life?,"health care and social assistance, government, public administration and safety, education and training, administrative and support services",Australia,No,Yes,,Yes,No,
BAH,University of Newcastle,Central Coast, Social Work (Honours),Education & Arts,,"29,115 ",AUD,Years,4.0,Years,Yes,No,ATAR,IELTS,,75.00,7.0,,https://www.newcastle.edu.au/degrees/bachelor-of-social-work-honours,English,A,Do you dream of a purpose-driven life?,"health care and social assistance, government, public administration and safety, education and training, administrative and support services",Australia,No,Yes,,Yes,No,
BAH,University of Newcastle,Newcastle, Speech Pathology (Honours),Education & Arts,,"29,115 ",AUD,Years,4.0,Years,Yes,No,ATAR,IELTS,,75.00,7.0,,https://www.newcastle.edu.au/degrees/bachelor-of-speech-pathology-honours,English,A,"Secure your future with highly specialised training, exciting placements and flexible outcomes.","hospitals, community health centres, schools, rehabilitation units, nursing homes, specialist disability services, academic research, management positions, private practice",Australia,No,Yes,,Yes,No,
BAH,University of Newcastle,Newcastle, Surveying (Honours),Engineering & Built Environment,,"29,115 ",AUD,Years,4.0,Years,Yes,No,ATAR,IELTS,,82.60,6.0,,https://www.newcastle.edu.au/degrees/bachelor-of-surveying-honours,English,A,Map the world from outer space.,"registered land surveyor, engineering surveyor, mining surveyor, hydrographic surveyor, town planning, geospatial specialist, geodesist, photogrammetrist, geographic information systems specialist",Australia,No,Yes,,Yes,No,
BA,University of Newcastle,Newcastle, Science (Exit Award),Science,,"35,285 ",AUD,Years,4.0,Years,Yes,No,ATAR,IELTS,,N/A,6.0,,https://www.newcastle.edu.au/degrees/exit-award/associate-degree-in-science-exit-award,English,A,"The Associate Degree in Science provides students an exit point after two years of study in an associated Science program. It provides the skills set of AQF level 6 to students who need to exit study after two years (for example in the event a student has mitigating circumstances that prevent them from returning to their studies) with a formal qualification. At the same time provides them the option to return to study and complete their final year of their Bachelor program, if and when they are able.", ,Australia,No,Yes,,Yes,No,
BA,University of Newcastle,Central Coast, Science (Exit Award),Science,,"35,285 ",AUD,Years,4.0,Years,Yes,No,ATAR,IELTS,,N/A,6.0,,https://www.newcastle.edu.au/degrees/exit-award/associate-degree-in-science-exit-award,English,A,"The Associate Degree in Science provides students an exit point after two years of study in an associated Science program. It provides the skills set of AQF level 6 to students who need to exit study after two years (for example in the event a student has mitigating circumstances that prevent them from returning to their studies) with a formal qualification. At the same time provides them the option to return to study and complete their final year of their Bachelor program, if and when they are able.", ,Australia,No,Yes,,Yes,No,
BA,University of Newcastle,Newcastle, Technology (Renewable Energy Systems),Engineering & Built Environment,,"37,210 ",AUD,Years,1.0,Year,Yes,No,ATAR,IELTS,,N/A,6.0,,https://www.newcastle.edu.au/degrees/bachelor-of-technology-renewable-energy-systems,English,A,"Renewable energy technologies are evolving rapidly. They include geothermal heat sources, carbon capture and storage, mineral sequestration, photovoltaics, polymer cells, oxyfuel technologies, and wind turbines. There is international demand for renewable energy technology and specialist engineering professionals with related skills in energy technical expertise as well as safety regulations. In Australia, growth in demand for engineers and technicians in the renewable energy sector is predicted to triple between 2008 and 2020.","wind energy technician, energy consultant or advisor, solar energy systems designer",Australia,No,Yes,,Yes,No,
BA,University of Newcastle,Newcastle, Visual Communication Design,Education & Arts,,"33,205 ",AUD,Years,3.0,Years,Yes,No,ATAR,IELTS,,62.00,6.0,,https://www.newcastle.edu.au/degrees/bachelor-of-visual-communication-design,English,A,"As advances in communication technology redefine our needs, the demand for visionaries and skilled designers is likewise projected to grow and expand.","Art Director, Brand and Identity Specialist, Concept Artist, Creative Director, Data Designer, Design Production Manager, Environmental, Wayfinding and Navigation Specialist, Games UX Designer, Graphic Designer, Information Architect, Interaction Designer, Interaction Design, User Experience or Game Art & Design, Modeler, Packaging Designer, Pre-press Operator, Publication Designer, Type Designer, User Experience Designer, User Interface Designer, Usability Specialist, Visual Designer, Web Designer, 3D Visualiser",Australia,No,Yes,,Yes,No,
BAH,University of Newcastle,Newcastle, Visual Communication Design (Honours),Education & Arts,,"34,265 ",AUD,Years,1.0,Year,Yes,No,ATAR,IELTS,,N/A,6.0,,https://www.newcastle.edu.au/degrees/bachelor-of-visual-communication-design-honours,English,A,The Bachelor of Visual Communication Design (Honours) degree is a one year full-time (or equivalent part-time) program designed to allow students to further specialise to an advanced level of professionalism and academic achievement. It also provides a pathway to Research Higher Degree studies., ,Australia,No,Yes,,Yes,No,
