Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Website,Course_Lang,Availability,Description,Career_Outcomes/path,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks,Course Delivery Mode,FREE TAFE
SHORT COURSES,Holmesglen Institute,Melbourne,Mandatory Electrical Installation Testing Fundamentals,Building and Construction,NoIntFee,250,AUD,Years,1.0,Day,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Electrical/Mandatory-Electrical-Installation-Testing-Fundamentals,English,D,The Mandatory Testing short course re-enforces qualified A Class Electricians with the knowledge and practical skills to fulfil the mandatory verification requirements of AS/NZS 3000 - Wiring rules. This program is endorsed by Energy Safe Victoria and is highly recommended throughout the electrical industry.,None,Australia,No,Yes,No,Yes,No,,Normal,No
SHORT COURSES,Holmesglen Institute,Melbourne,Raspberry Pi,Building and Construction,NoIntFee,195,AUD,Years,1.0,Day,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Electrical/Raspberry-Pi,English,D,"Have you heard about Raspberry Pi? Would you like to learn how to build amazing Raspberry Pi projects? This course is designed for people with no experience with Raspberry Pi, who are interested in learning about the power of Internet of Things (IoT) using Raspberry Pi.",None,Australia,No,Yes,No,Yes,No,,Normal,No
SHORT COURSES,Holmesglen Institute,Melbourne,Readiness Assessment,Building and Construction,NoIntFee,31,AUD,Years,,,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Electrical/Readiness-Assessment,English,D,The Readiness Assessment (RA) enables you to assess your ability before entering into an Electrical Apprenticeship. The course is suitable for those who are interested in applying for an Apprenticeship within the Electrical Industry; including young school leavers wanting to enter into the Electrical Industry..,None,Australia,No,Yes,No,Yes,No,,Normal,No
SHORT COURSES,Holmesglen Institute,Melbourne,Readiness Assessment,Building and Construction,NoIntFee,31,AUD,Years,,,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Electrical/Readiness-Assessment,English,D,The Readiness Assessment (RA) enables you to assess your ability before entering into an Electrical Apprenticeship. The course is suitable for those who are interested in applying for an Apprenticeship within the Electrical Industry; including young school leavers wanting to enter into the Electrical Industry..,None,Australia,No,Yes,No,Yes,No,,Normal,No
SHORT COURSES,Holmesglen Institute,Melbourne,Construction Wiring and Mandatory Testing,Building and Construction,NoIntFee,970,AUD,Years,3.0,Days,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Electrical/Construction-Wiring-and-Mandatory-Testing,English,D,"The Construction Wiring and Mandatory Testing Short Course provides qualified electricians with the underpinning skills, knowledge and competency for the installation and maintenance of construction wiring on building and demolition sites.",None,Australia,No,Yes,No,Yes,No,,Normal,No
SHORT COURSES,Holmesglen Institute,Melbourne,Construction Wiring and Mandatory Testing - Refresher,Building and Construction,NoIntFee,785,AUD,Years,2.0,Days,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Electrical/Construction-Wiring-and-Mandatory-Testing-Refresher,English,D,The Construction Wiring and Mandatory Testing Refresher short course is suitable for applicants who are wishing to refresh their knowledge/skills and whose accreditation is nearing expiry.,None,Australia,No,Yes,No,Yes,No,,Normal,No
SHORT COURSES,Holmesglen Institute,Melbourne,Electrical Licence Tutorial-LEP,Building and Construction,NoIntFee,485,AUD,Years,,,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Electrical/Electrical-Licence-Tutorial-LEP-Licensed-Electrical-Practice,English,D,This program prepares you for one of the three Energy Safe Victoria-required Licensed Electrical Assessment examinations - Licensed Electrical Practice (LEP).,None,Australia,No,Yes,No,Yes,No,,Normal,No
SHORT COURSES,Holmesglen Institute,Melbourne,Electrical Licence Tutorial-LEP,Building and Construction,NoIntFee,485,AUD,Years,,,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Electrical/Electrical-Licence-Tutorial-LEP-Licensed-Electrical-Practice,English,D,This program prepares you for one of the three Energy Safe Victoria-required Licensed Electrical Assessment examinations - Licensed Electrical Practice (LEP).,None,Australia,No,Yes,No,Yes,No,,Normal,No
SHORT COURSES,Holmesglen Institute,Melbourne,Electrical Licence Tutorial-LET,Building and Construction,NoIntFee,460,AUD,Years,,,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Electrical/Electrical-Licence-Tutorial-LET-Licensed-Electrical-Theory,English,D,"This program prepares you for one of the three, Energy Safe Victoria-required Licensed Electrical Assessment examinations -  the Licensed Electrical Theory (LET) exam.",None,Australia,No,Yes,No,Yes,No,,Normal,No
SHORT COURSES,Holmesglen Institute,Melbourne,Electrical Licence Tutorial-LET,Building and Construction,NoIntFee,460,AUD,Years,,,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Electrical/Electrical-Licence-Tutorial-LET-Licensed-Electrical-Theory,English,D,"This program prepares you for one of the three, Energy Safe Victoria-required Licensed Electrical Assessment examinations -  the Licensed Electrical Theory (LET) exam.",None,Australia,No,Yes,No,Yes,No,,Normal,No
SHORT COURSES,Holmesglen Institute,Melbourne,Electrical Licence Tutorial-SWP,Building and Construction,NoIntFee,190,AUD,Years,,,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Electrical/Electrical-Licence-Tutorial-SWP-Safe-Work-Practices-SWP,English,D,This program prepares you for one of the three Energy Safe Victoria-required Licensed Electrical Assessment examinations -  the Safe Working Practices (SWP) exam.,None,Australia,No,Yes,No,Yes,No,,Normal,No
SHORT COURSES,Holmesglen Institute,Melbourne,Electrical Licence Tutorial-SWP,Building and Construction,NoIntFee,190,AUD,Years,,,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Electrical/Electrical-Licence-Tutorial-SWP-Safe-Work-Practices-SWP,English,D,This program prepares you for one of the three Energy Safe Victoria-required Licensed Electrical Assessment examinations -  the Safe Working Practices (SWP) exam.,None,Australia,No,Yes,No,Yes,No,,Normal,No
CERTII,Holmesglen Institute,Melbourne,Certificate II in Engineering Studies,Building and Construction,NoIntFee,NoLocalFee,AUD,Years,2.0,Years,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Engineering-and-Fabrication/Certificate-II-in-Engineering-Studies-Fabrication-VET-Delivered-to-Secondary-Students,English,D,This Certificate II in Engineering Studies (fabrication stream) provides secondary school students pre-employment training and pathways into the engineering manufacturing or related industries and entry into the wider engineering industry.,engineering and fabrication apprenticeship,Australia,No,Yes,No,Yes,No,,Traineeship,No
CERTII,Holmesglen Institute,Melbourne,Certificate II in Engineering Studies,Building and Construction,NoIntFee,NoLocalFee,AUD,Years,2.0,Years,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Engineering-and-Fabrication/Certificate-II-in-Engineering-Studies-Fabrication-VET-Delivered-to-Secondary-Students-1,English,D,This Certificate II in Engineering Studies (fabrication stream) provides secondary school students pre-employment training and pathways into the engineering manufacturing or related industries and entry into the wider engineering industry.,MEM30119 Certificate III in Engineering – Production SystemsMEM30219 Certificate III in Engineering – Mechanical TradeMEM30319 Certificate III in Engineering – Fabrication TradeMEM30419 Certificate III in Engineering – Electrical/Electronics Trade,Australia,No,Yes,No,Yes,No,,Traineeship,No
CERTII,Holmesglen Institute,Melbourne,Certificate II in Engineering Studies,Building and Construction,NoIntFee,"4,515.00",AUD,Years,19.0,Weeks,Yes,No,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Engineering-and-Fabrication/Certificate-II-in-Engineering-Studies-Pre-apprenticeship,English,D,The Certificate II in Engineering Studies pre-apprenticeship course is designed to provide pre-employment training and a pathway into the engineering industry.,"traineeship or apprenticeship in a range of engineering, manufacturing or related areas",Australia,No,Yes,No,Yes,No,,Pre-apprenticeship,Yes
CERTII,Holmesglen Institute,Melbourne,Certificate II in Engineering Studies,Building and Construction,NoIntFee,NoLocalFee,AUD,Years,2.0,Years,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Engineering-and-Fabrication/Certificate-II-in-Engineering-Studies-Technical-VET-Delivered-to-Secondary-School-Students,English,D,"This Certificate II in Engineering Studies provides secondary school students with pre-employment training and pathways in the engineering manufacturing or related industries, and entry into the wider engineering industry.","apprenticeship or entry-level employment in the engineering, manufacturing or related industries",Australia,No,Yes,No,Yes,No,,Traineeship,No
CERTIII,Holmesglen Institute,Melbourne,Certificate III in Engineering - Fabrication Trade,Building and Construction,NoIntFee,"4,171.00",AUD,Years,3.0,Years,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Engineering-and-Fabrication/Certificate-III-in-Engineering-Fabrication-Trade-Apprenticeship,English,D,"The Certificate III in Engineering is the course to undertake if you want to work as a welder, sheet metal worker or boilermaker.",metal fabrication tradespersonboilermaker weldersheet metal workerarc welder,Australia,No,Yes,No,Yes,No,,Apprenticeship,No
CERTIV,Holmesglen Institute,Melbourne,Certificate IV in Engineering,Building and Construction,NoIntFee,"15,694.00",AUD,Years,18.0,Months,Yes,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Engineering-and-Fabrication/Certificate-IV-in-Engineering-Fabrication-and-AutoCAD,English,D,"This Certificate IV in Engineering has streams specialising in fabrication as well as AutoCAD. Completion of the course will give you enhanced career opportunities in fields associated with fabrication, welding and 2D / 3D AutoCAD design.",Advanced metal fabricator,Australia,No,Yes,No,Yes,No,,Normal,Yes
DIP,Holmesglen Institute,Melbourne,Diploma of Engineering - Advanced Trade,Building and Construction,NoIntFee,"12,155.50",AUD,Years,6.0,Months,Yes,No,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Engineering-and-Fabrication/Diploma-of-Engineering-Advanced-Trade-Fabrication,English,D,The Diploma of Engineering - Advanced Trade will give you the skills and theoretical knowledge to work as an engineering tradesperson.,Advanced engineering tradesperson – Level II.,Australia,No,Yes,No,Yes,No,,Normal,No
SHORT COURSES,Holmesglen Institute,Online,Inventor,Building and Construction,NoIntFee,900,AUD,Years,6.0,Months,Yes,No,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Engineering-and-Fabrication/Inventor-Online,English,D,"This course includes part modelling, assemblies and producing detailed drawings. It is self-paced and completed in the comfort of your own home.",None,Australia,Yes,No,Yes,No,No,,Normal,No
SHORT COURSES,Holmesglen Institute,Melbourne,AutoCAD 2D and 3D - Online,Building and Construction,NoIntFee,"1,912.50",AUD,Years,6.0,Months,Yes,No,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Engineering-and-Fabrication/AutoCAD-2D-and-3D-Online,English,D,"Learn all there is to know about AutoCAD, with this course comprised of AutoCAD 2D Fundamentals, Advanced 2D and 3D Modeling units.",None,Australia,No,Yes,No,Yes,No,,Normal,No
CERTII,Holmesglen Institute,Melbourne,Certificate II in Furniture Making,Building and Construction,NoIntFee,"7,409.00",AUD,Years,5.0,Months,Yes,No,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Furniture-and-Upholstery/Certificate-II-in-Furniture-Making-Pre-apprenticeship,English,D,The Certificate II in Furniture is a pre-apprenticeship course which will give you foundational skills and knowledge in cabinet and furniture making.,"apprentice cabinet makerapprentice furniture makerapprentice joinerapprentice wood machinistassistant cabinet makerfurther studies in furniture design, building and constructionassistant installer (built-in cabinets for kitchens/bathrooms)production operator (within cabinet making enterprise).",Australia,No,Yes,No,Yes,No,,Pre-apprenticeship,Yes
CERTIII,Holmesglen Institute,Melbourne,Certificate III in Automotive and Marine Trimming Technology,Building and Construction,NoIntFee,"2,062.00",AUD,Years,3.0,Years,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Furniture-and-Upholstery/Certificate-III-in-Automotive-and-Marine-Trimming-Technology-Apprenticeship,English,D,"This Certificate III in Automotive and Marine Trimming Technology provides comprehensive apprenticeship training in vehicle and marine trimming. You will learn to make, install, repair, replace or modify the seats, upholstery, linings (roof and door linings), interior trim and floor coverings of a vehicle.",marine trimming technicianvehicle trimmer,Australia,No,Yes,No,Yes,No,,Apprenticeship,No
CERTIII,Holmesglen Institute,Melbourne,Certificate III in Automotive and Marine Trimming Technology,Building and Construction,NoIntFee,"6,340.65",AUD,Years,3.0,Years,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Furniture-and-Upholstery/Certificate-III-in-Automotive-and-Marine-Trimming-Technology-Non-apprenticeship,English,D,"This Certificate III in Automotive and Marine Trimming Technology provides comprehensive training in vehicle and marine trimming. You will learn to make, install, repair, replace or modify the seats, upholstery, linings (roof and door linings), interior trim and floor coverings of a vehicle.",marine trimming technicianvehicle trimmer,Australia,No,Yes,No,Yes,No,,Normal,No
CERTIII,Holmesglen Institute,Melbourne,Certificate III in Cabinet Making,Building and Construction,NoIntFee,"7,020.80",AUD,Years,3.0,Years,Yes,No,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Furniture-and-Upholstery/Certificate-III-in-Cabinet-Making-Kitchen-and-Bathroom-Apprenticeship,English,D,"The Certificate III in Cabinet Making MSF31113 (kitchen and bathroom stream) will give you a range of skills and knowledge in the kitchen, bathroom, installation, and furniture making for the manufacture of furniture and cabinetry products.",cabinet makerfurniture makerwood machinistCNC Operatorshopfitter/joinercaravan fittercoffin makerchair/couch makerantique restorer/reproducerboat building,Australia,No,Yes,No,Yes,No,,Apprenticeship,No
CERTIII,Holmesglen Institute,Melbourne,Certificate III in Cabinet Making,Building and Construction,"14,900","14,605.00",AUD,Years,1.0,Year,Yes,No,ATAR,IELTS,,5.5,https://holmesglen.edu.au/Courses/Building-and-Construction/Furniture-and-Upholstery/Certificate-III-in-Cabinet-Making-Furniture,English,A,"The Certificate III in Cabinet Making (furniture pathway) will give you a range of skills and knowledge in kitchen, bathroom, installation and furniture making for the manufacture of furniture and cabinetry products.",cabinet makerfurniture makerjoinerwood machinistassistant cabinet makerassistant installer (built-in cabinets for kitchens/bathrooms)production operator (within cabinet making enterprise).,Australia,No,Yes,No,Yes,No,,Normal,No
CERTIII,Holmesglen Institute,Melbourne,Certificate III in Furniture Finishing,Building and Construction,NoIntFee,"1,624.00",AUD,Years,4.0,Years,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Furniture-and-Upholstery/Certificate-III-in-Furniture-Finishing-Apprenticeship,English,D,"The Certificate III in Furniture Finishing provides comprehensive training in furniture finishing. You will learn to prepare surfaces, apply stains and finishes, restore furniture and operate finishing equipment.",Furniture polishervarious positions in furnishing and joinery,Australia,No,Yes,No,Yes,No,,Apprenticeship,No
CERTIII,Holmesglen Institute,Melbourne,Certificate III in Upholstery,Building and Construction,NoIntFee,"1,680.00",AUD,Years,4.0,Years,Yes,No,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Furniture-and-Upholstery/Certificate-III-in-Upholstery-Production-stream-apprenticeship,English,D,The Certificate III in Upholstery provides comprehensive traditional upholstery training for apprentices in all practical and theoretical aspects of the trade.,Production upholstererUpholsterer,Australia,No,Yes,No,Yes,No,,Normal,No
CERTIII,Holmesglen Institute,Melbourne,Certificate III in Upholstery,Building and Construction,NoIntFee,"1,680.00",AUD,Years,4.0,Years,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Furniture-and-Upholstery/Certificate-III-in-Upholstery-Traditional-stream-apprenticeship,English,D,The Certificate III in Upholstery provides comprehensive traditional upholstery training for apprentices in all practical and theoretical aspects of the trade.,traditional upholstererupholsterer,Australia,No,Yes,No,Yes,No,,Normal,No
CERTIII,Holmesglen Institute,Melbourne,Certificate III in Upholstery,Building and Construction,NoIntFee,"15,456.00",AUD,Years,3.0,Years,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Furniture-and-Upholstery/Certificate-III-in-Upholstery-Traditional-stream-non-apprenticeship,English,D,The Certificate III in Upholstery will give you the skills to create new furniture masterpieces and return old furniture to its former glory.,traditional upholsterer,Australia,No,Yes,No,Yes,No,,Normal,No
CERTIV,Holmesglen Institute,Melbourne,Certificate IV in Furniture Design and Technology,Building and Construction,"14,900","16,710.00",AUD,Years,1.0,Years,Yes,No,ATAR,IELTS,,5.5,https://holmesglen.edu.au/Courses/Building-and-Construction/Furniture-and-Upholstery/Certificate-IV-in-Furniture-Design-and-Technology,English,A,The Certificate IV in Furniture Design and Technology will provide you with skills in designing furniture and applying those designs into a finished furniture product.,fine furniture makerfurniture designerfurniture producercaravan interior designer,Australia,No,Yes,No,Yes,No,,Normal,No
CERTIII,Holmesglen Institute,Melbourne,Certificate III in Glass and Glazing,Building and Construction,NoIntFee,"12,625.50",AUD,Years,1.0,Year,Yes,No,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Glass-and-Glazing/Certificate-III-in-Glass-and-Glazing,English,D,"This Certificate III in Glass and Glazing will train you in glass processing, glazing or designed glazing in both residential or commercial operations.",Domestic or Commercial glazierGlass cutterGlass edge worker/processorVarious positions in architectural glass work,Australia,No,Yes,No,Yes,No,,Normal,No
CERTIII,Holmesglen Institute,Melbourne,Certificate III in Glass and Glazing,Building and Construction,NoIntFee,"6,016.00",AUD,Years,3.0,Years,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Glass-and-Glazing/Certificate-III-in-Glass-and-Glazing-Apprenticeship,English,D,"This Certificate III in Glass and Glazing Apprenticeship provides the skills and knowledge you require to perform a range of glass and glazing job roles, including safely manufacturing, processing, moving and installing various types of glass, and handling glass materials and components.",Domestic or Commercial glazierGlass cutterGlass edge worker/processorVarious positions in architectural glass work,Australia,No,Yes,No,Yes,No,,Apprenticeship,No
SHORT COURSES,Holmesglen Institute,Melbourne,Install Trench Support,Building and Construction,NoIntFee,NoLocalFee,AUD,Years,3.0,Days,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Industrial-Skills-Training/Install-Trench-Support,English,D,The Install Trench Support short course will give participants the skills and knowledge required to install trench support in civil construction. This nationally accredited competency is appropriate for those working in operational roles.,None,Australia,No,Yes,No,Yes,No,,Normal,No
SHORT COURSES,Holmesglen Institute,Workplace,Install Trench Support,Building and Construction,NoIntFee,NoLocalFee,AUD,Years,3.0,Days,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Industrial-Skills-Training/Install-Trench-Support,English,D,The Install Trench Support short course will give participants the skills and knowledge required to install trench support in civil construction. This nationally accredited competency is appropriate for those working in operational roles.,None,Australia,No,Yes,No,Yes,No,,Normal,No
SHORT COURSES,Holmesglen Institute,Workplace,Operate a Non-Slewing Mobile Crane Licence (greater than 3 tonnes capacity),Building and Construction,NoIntFee,NoLocalFee,AUD,Years,3.0,Days,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Industrial-Skills-Training/Operate-a-Non-Slewing-Mobile-Crane-Licence-greater-than-3-tonnes-capacity,English,D,"The Operating a Non-Slewing Mobile Crane Licence (greater than 3 tonnes capacity) Course aligns with WorkSafe Victoria licensing requirements. These requirements stipulate the skills and knowledge to plan the work, conduct routine checks, set up crane, transfer load, mobile load and shut down and secure crane.",None,Australia,No,Yes,No,Yes,No,,Normal,No
SHORT COURSES,Holmesglen Institute,Workplace,Operate a Slewing Mobile Crane Licence (up to 100 tonnes),Building and Construction,NoIntFee,NoLocalFee,AUD,Years,3.0,Days,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Industrial-Skills-Training/Operate-a-Slewing-Mobile-Crane-Licence-up-to-100-tonnes,English,D,"This Operating a Slewing Mobile Crane Licence (up to 100 tonnes) Course is aligned with the WorkSafe licensing requirements. These requirements stipulate the skills and knowledge to plan work, conduct routine checks, set up crane, transfer load, mobile load and shut down and secure crane after operation.",None,Australia,No,Yes,No,Yes,No,,Normal,No
SHORT COURSES,Holmesglen Institute,Workplace,Operate a Slewing Mobile Crane Licence (up to 20 tonnes),Building and Construction,NoIntFee,NoLocalFee,AUD,Years,3.0,Days,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Industrial-Skills-Training/Operate-a-Slewing-Mobile-Crane-Licence-up-to-20-tonnes,English,D,"This Operating a Slewing Mobile Crane licence (up to 20 tonnes) course is aligned with the WorkSafe licensing requirements. These stipulate the skills and knowledge to plan the work, conduct routine checks, set up crane, transfer a load, mobile load and shut down and secure the crane after completing the operation.",None,Australia,No,Yes,No,Yes,No,,Normal,No
CERTIII,Holmesglen Institute,Melbourne,Certificate III in Painting and Decorating,Building and Construction,NoIntFee,"6,144.00",AUD,Years,3.0,Years,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Painting-and-Decorating/Certificate-III-in-Painting-and-Decorating-Apprenticeship,English,D,Studying the Certificate III in Painting and Decorating will give you the practical skills to work as a residential or commercial painter or decorator.,Painter and decorator,Australia,No,Yes,No,Yes,No,,Apprenticeship,No
CERTIII,Holmesglen Institute,Melbourne,Certificate III in Painting and Decorating,Building and Construction,NoIntFee,"17,271.00",AUD,Years,1.0,Year,Yes,No,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Painting-and-Decorating/Certificate-III-in-Painting-and-Decorating-Non-apprenticeship,English,D,Studying the Certificate III in Painting and Decorating will give you the practical skills to work as a residential or commercial painter or decorator.,Painter and decorator,Australia,No,Yes,No,Yes,No,,Normal,No
CERTIII,Holmesglen Institute,Melbourne,Certificate III in Construction Waterproofing,Building and Construction,NoIntFee,"8,184.10",AUD,Years,9.0,Months,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Flooring-Plastering-and-Tiling/Certificate-III-in-Construction-Waterproofing,English,D,The Certificate III in Construction Waterproofing provides a trade certificate in waterproofing for the residential and commercial construction industry.,Waterproofer,Australia,No,Yes,No,Yes,No,,Normal,Yes
CERTIII,Holmesglen Institute,Melbourne,Certificate III in Flooring Technology,Building and Construction,NoIntFee,"2,950.00",AUD,Years,4.0,Years,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Flooring-Plastering-and-Tiling/Certificate-III-in-Flooring-Technology-Carpet-apprenticeship,English,D,"The Certificate III in Flooring Technology (Carpet), specialising in carpet installation, provides comprehensive training, delivered both on and off the job, to ensure you develop the most up to date knowledge and skills required to become a professional floor covering installer.",Carpet layerFloor finisher,Australia,No,Yes,No,Yes,No,,Normal,No
CERTIII,Holmesglen Institute,Melbourne,Certificate III in Flooring Technology,Building and Construction,NoIntFee,"2,950.00",AUD,Years,4.0,Years,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Flooring-Plastering-and-Tiling/Certificate-III-in-Flooring-Technology-General-apprenticeship,English,D,"The Certificate III in Flooring Technology, specialising in carpet and vinyl installation, provides comprehensive training, delivered both on and off the job, to ensure you develop the most up to date knowledge and skills required to become a professional floor covering installer.",Carpet layerVinyl layerFloor finisher,Australia,No,Yes,No,Yes,No,,Normal,No
CERTIII,Holmesglen Institute,Melbourne,Certificate III in Flooring Technology,Building and Construction,NoIntFee,"2,950.00",AUD,Years,4.0,Years,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Flooring-Plastering-and-Tiling/Certificate-III-in-Flooring-Technology-Resilient-apprenticeship,English,D,"The Certificate III in Flooring Technology (Resilient), specialising in vinyl installation, provides comprehensive training, delivered both and off the job, to ensure you develop the most up to date knowledge and skills required to become a professional floor covering installer.",Vinyl layerFloor finisher,Australia,No,Yes,No,Yes,No,,Normal,No
CERTIII,Holmesglen Institute,Melbourne,Certificate III in Flooring Technology,Building and Construction,NoIntFee,"2,950.00",AUD,Years,4.0,Years,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Flooring-Plastering-and-Tiling/Certificate-III-in-Flooring-Technology-Timber-apprenticeship,English,D,"The Certificate III in Flooring Technology, specialising in timber installation, provides comprehensive training, delivered both on and off the job, to ensure you develop the most up-to- date knowledge and skills required to become a professional floor covering installer.",Floor finisherTimber floor layer,Australia,No,Yes,No,Yes,No,,Normal,No
CERTIII,Holmesglen Institute,Melbourne,Certificate III in Roof Tiling,Building and Construction,NoIntFee,980,AUD,Years,,,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Flooring-Plastering-and-Tiling/Certificate-III-in-Roof-Tiling-Apprenticeship,English,D,"The Certificate III in Roof Tiling provides comprehensive skills and knowledge in roof tiling, including tiling regular and irregular roofs, repairing and renovating tile and slate roofs, interpreting plans and specifications, and workplace safety.",Roof tiler,Australia,No,Yes,No,Yes,No,,Apprenticeship,No
CERTIII,Holmesglen Institute,Melbourne,Certificate III in Wall and Ceiling Lining,Building and Construction,NoIntFee,"2,808.40",AUD,Years,4.0,Years,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Flooring-Plastering-and-Tiling/Certificate-III-in-Wall-and-Ceiling-Lining-Apprenticeship,English,D,"The Certficate III in Wall and Celiling Lining provides you with comprehensive training for the wall and ceiling lining plastering industry, incorporating a range of practical and theoretical aspects of the trade.",Plasterer,Australia,No,Yes,No,Yes,No,,Apprenticeship,No
CERTIII,Holmesglen Institute,Melbourne,Certificate III in Wall and Floor Tiling,Building and Construction,NoIntFee,"2,778.90",AUD,Years,4.0,Years,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Flooring-Plastering-and-Tiling/Certificate-III-in-Wall-and-Floor-Tiling-Apprenticeship,English,D,"The Certificate III in Wall and Floor Tiling provides comprehensive training for wall and floor tiling, and covers all practical and theoretical aspects of the trade.",Wall and floor tilerTiler,Australia,No,Yes,No,Yes,No,,Apprenticeship,No
CERTII,Holmesglen Institute,Melbourne,Certificate II in Plumbing (Pre-apprenticeship),Building and Construction,NoIntFee,"6,470.00",AUD,Years,12.0,Weeks,Yes,No,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Plumbing/Certificate-II-in-Plumbing-Pre-apprenticeship,English,D,The Certificate II in Plumbing (Pre-apprenticeship) is designed to provide entry-level training for those students who want to pursue employment and career opportunities within the plumbing industry.,apprentice plumber,Australia,No,Yes,No,Yes,No,,Pre-apprenticeship,Yes
CERTIII,Holmesglen Institute,Melbourne,Certificate III in Plumbing,Building and Construction,NoIntFee,"8,492.80",AUD,Years,3.0,Years,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Building-and-Construction/Plumbing/Certificate-III-in-Plumbing-Apprenticeship,English,D,"The Certificate III in Plumbing provides comprehensive training for all plumbing and gasfitting apprentices, and covers the practical and theoretical aspects of the industry.",general plumber domestic and commercial,Australia,No,Yes,No,Yes,No,,Apprenticeship,No
