Level_Code,University,City,Course,Faculty,Local_Fees,Int_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes/path,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
BA,Edith Cowan University,Bunbury,Bachelor of Science (Nursing) Bachelor of Science (Midwifery),Science,"8,900","44,350",AUD,Years,4.0,Years,Yes,No,ATAR,IELTS,Equivalent ,75,6.0,Year 12,https://www.ecu.edu.au/degrees/courses/bachelor-of-science-nursing-bachelor-of-science-midwifery,English,A,"The course offers an innovative and broad study approach, with graduates ready for beginning level practice in both midwifery and nursing. It provides students with the knowledge and skills to deliver high quality care within the healthcare environment. ",,Australia,No,Yes,No,Yes,No,
BA,Edith Cowan University,Perth,Bachelor of Science (Occupational Therapy),Science,"10,150","34,200",AUD,Years,4.0,Years,Yes,No,ATAR,IELTS,Equivalent ,80,6.0,Year 12,https://www.ecu.edu.au/degrees/courses/bachelor-of-science-occupational-therapy,English,A,"Fieldwork placements commence in the first year and throughout the course, and provide students with valuable learning experiences in a range of settings. Graduates will possess a sound knowledge and understanding of professional principles and processes and will be able to generalise their attributes and skills in new situations. Students with a Weighted Average Mark (WAM) of 70 per cent or higher after the third year of study may be invited to complete an Honours program within the fourth year. Those students will transfer to the Bachelor of Science (Occupational Therapy) Honours for the fourth and final year.",,Australia,No,Yes,No,Yes,No,
BA,Edith Cowan University,Perth,Bachelor of Science (Paramedical Science),Science,"10,350","34,700",AUD,Years,3.0,Years,Yes,No,ATAR,IELTS,Equivalent ,70,6.0,Year 12,https://www.ecu.edu.au/degrees/courses/bachelor-of-science-paramedical-science,English,A,"Students will develop an understanding of professional and ethical practice, communication and safe practice within the public health, social, cultural and clinical paramedical science environments.","Paramedic, Critical Care Paramedic, Community Paramedic, Industrial Paramedic, Ambulance Officer, Intensive Care Paramedic, Retrieval Paramedic",Australia,Yes,Yes,Yes,Yes,No,
BA,Edith Cowan University,Perth,Bachelor of Science (Security),Science,"9,350","35,200",AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,70,6.0,Year 12,https://www.ecu.edu.au/degrees/courses/bachelor-of-science-security,English,A,"The course emphasizes the diagnosis of security concerns through a risk approach. Then the development of the security strategy applying theories and principles of security before commissioning and ongoing management of the protection solution. It is supported by appropriate studies in technology, law and ethics. ","Security Manager, Corporate Security Manager, Security Consultant, Security Engineer, Critical Infrastructure Manager, Organisational Security Manager, Security Systems Manager, Security Analyst, Security Auditor, Risk and Security Manager",Australia,Yes,Yes,Yes,Yes,Yes,
HONS,Edith Cowan University,Perth,Bachelor of Science Honours,Science,"9,150","34,700",AUD,Years,1.0,Year,Yes,No,ATAR,IELTS,Equivalent , ,6.0,Year 12,https://www.ecu.edu.au/degrees/courses/bachelor-of-science-honours,English,A,"Ideal for students interested in independent research, this course involves a research thesis on the student's topic of choice, preparing them for a scientific research career.",,Australia,No,Yes,No,Yes,No,
BA,Edith Cowan University,Perth,Bachelor of Science Bachelor of Commerce,Science,"10,550","32,800",AUD,Years,4.0,Years,Yes,No,ATAR,IELTS,Equivalent ,70,6.0,Year 12,https://www.ecu.edu.au/degrees/courses/bachelor-of-science-bachelor-of-commerce,English,A,"The four years include concurrent study in both disciplines, with students choosing one major in science and another in commerce. The course provides multiple possibilities for international study and/or exchange, and a choice of electives to broaden knowledge and skills.","Sustainability Officer, Climate Change Adaptation Manager, Scientific Consultant, Government Scientist, Scientific Adviser, Business Manager, Business Consultant/Adviser, Marketing Officer",Australia,No,Yes,No,Yes,No,
BA,Edith Cowan University,Perth,Bachelor of Social Science,Science,"6,850","33,000",AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,70,6.0,Year 12,https://www.ecu.edu.au/degrees/courses/bachelor-of-social-science,English,A,"This course equips you with an understanding of how society works and how you can make a positive change. You learn to analyse, challenge and gain insight into globally significant theories about class, race, work, social justice, gender, family and communities. You will also explore the exciting complexities of the human social experience and armed with these in-depth insights, you can help policy makers find the right solutions to improve the society in which we exist.","Community Worker, Community Development Officer, Policy Officer, Family Support Officer, Parent Education Coordinator, Project Officer",Australia,Yes,Yes,Yes,Yes,Yes,
BA,Edith Cowan University,Bunbury,Bachelor of Social Work,Arts and Humanities,"6,850","30,800",AUD,Years,4.0,Years,Yes,No,ATAR,IELTS,Equivalent ,70,6.0,Year 12,https://www.ecu.edu.au/degrees/courses/bachelor-of-social-work,English,A,"Students undertake studies in social work theory and practice, research, politics, policy, law, and ethics, with particular reference to the relevance of this knowledge to practise in regional, rural and remote settings. This is an entry qualification into the social work profession and has been determined to meet the Australian Social Work Education and Accreditation Standards of the Australian Association of Social Workers (AASW). ",,Australia,Yes,Yes,Yes,Yes,No,
BA,Edith Cowan University,Perth,Bachelor of Speech Pathology,Medical and Health Sciences,"9,050","36,300",AUD,Years,4.0,Years,Yes,No,ATAR,IELTS,Equivalent ,80,6.0,Year 12,https://www.ecu.edu.au/degrees/courses/bachelor-of-speech-pathology,English,A,"Speech Pathologists provide diagnostic assessment and management of disorders of communication and swallowing for people of all ages, from babies to the elderly. They work with a wide range of problems like stuttering, voice problems, language disorders and physical and intellectual disabilities. If you are passionate about communicating, have an interest in helping people across the lifespan, this might be a career for you. Speech Pathology includes science, communication and being creative in planning therapy. One of the best things about studying Speech Pathology at ECU is starting your practical experience in your first year. And with our smaller student cohort and greater personal attention you’ll receive from our experienced lecturers, it’s the best way to start your new career. ",Speech Pathologist,Australia,No,Yes,No,Yes,No,
BA,Edith Cowan University,Perth,"Bachelor of Sport, Recreation and Event Management",Business and Law,"10,100","31,850",AUD,Years,3.0,Years,Yes,No,ATAR,IELTS,Equivalent ,70,6.0,Year 12,https://www.ecu.edu.au/degrees/courses/bachelor-of-sport-recreation-and-event-management,English,A,"This course commences with an introduction to the sport, recreation and event sector and focuses on the key aspects of sport delivery systems, event management, leadership and programming, culture and professional identity development, sport and recreation facilities and services management, strategic and human resource management, marketing and communications, funding and finance, sport venue management, event operations management, legal aspects, and business research and planning. Students also undertake a range of professional industry practice opportunities, and community-interactive project work in the relevant industries. Students have the opportunity to further specialise their studies with a stronger industry focus in various fields, such as marketing, sports science, human resource management, public relations, or tourism and hospitality management. Students graduate ready to enter the fast-paced and dynamic sport, recreation and events sector, having learnt the industry-focused theoretical knowledge and practical skills required to succeed.","Sport and Recreation Event Manager, Recreation Services Manager, Sport Association CEO, Sport Development Manager, Sport Marketing and Sponsorship Manager, Sport Corporate Affairs Manager, Sport Communications Manager, Sport Membership Manager, Sport Club Manager, Player Manager",Australia,Yes,Yes,Yes,Yes,No,
