Level_Code,University,City,Course,Faculty,Int_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Website,Course_Lang,Availability,Description,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
BA,Monash University,Melbourne,Banking and Finance,Business & Economics,"45,000",AUD,Years,3.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/banking-and-finance-b2042?international=true,English,A,"If you're keen to make decisions based on rigorous financial analysis, a Bachelor of Banking and Finance may be the right course for you. Delve into the complexities of the banking and finance sector and gain the skills to manage money in an institutional setting.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Biomedical Science,Medical and Nursing,"41,900",AUD,Years,3.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/biomedical-science-m2003?international=true,English,A,"The Bachelor of Biomedical Science helps you understand disease, how it occurs and how we can prevent it to better improve quality of life. This multidisciplinary course offers units relating to biomedical chemistry, bioinformatics and human genetics. Graduates of this course will pursue careers in research, teaching, health promotion and much more.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Biomedical Science,Medical and Nursing,"42,000",AUD,Years,1.0,Year,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/biomedical-science-m3702?international=true,English,A,"The Bachelor of Biomedical Science helps you understand disease, how it occurs and how we can prevent it to better improve quality of life. This multidisciplinary course offers units relating to biomedical chemistry, bioinformatics and human genetics. Graduates of this course will pursue careers in research, teaching, health promotion and much more.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Biomedical Science,Medical and Nursing,"42,000",AUD,Years,1.0,Year,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/business-business-education-2647?international=true,English,A,"The Bachelor of Biomedical Science helps you understand disease, how it occurs and how we can prevent it to better improve quality of life. This multidisciplinary course offers units relating to biomedical chemistry, bioinformatics and human genetics. Graduates of this course will pursue careers in research, teaching, health promotion and much more.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Biomedical Science,Medical and Nursing,"42,000",AUD,Years,1.0,Year,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/business-business-2607?international=true,English,A,"The Bachelor of Biomedical Science helps you understand disease, how it occurs and how we can prevent it to better improve quality of life. This multidisciplinary course offers units relating to biomedical chemistry, bioinformatics and human genetics. Graduates of this course will pursue careers in research, teaching, health promotion and much more.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Biomedical Science,Medical and Nursing,"42,000",AUD,Years,1.0,Year,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/business-commerce-2608?international=true,English,A,"The Bachelor of Biomedical Science helps you understand disease, how it occurs and how we can prevent it to better improve quality of life. This multidisciplinary course offers units relating to biomedical chemistry, bioinformatics and human genetics. Graduates of this course will pursue careers in research, teaching, health promotion and much more.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Business,Business & Economics,"45,000",AUD,Years,1.0,Year,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/business-b2000?international=true,English,A,"A Bachelor of Business will delve into the dynamic world of business and what makes organisations, brands and markets function effectively. How are brands built? What causes stock markets to soar (and slide)? Why do some businesses boom and others fail? Explore all of these questions and more.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Business Administration,Business & Economics,"45,000",AUD,Years,3.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/business-administration-b2007?international=true,English,A,"What have Uber, Boost and Deliveroo taught us? With a Bachelor of Business Administration you'll learn how entrepreneurial flair mixed with practical skills can turn a great idea into a booming business. Gain the business administration skills to manage an organisation or run your own business.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Business Administration and Arts,Business & Economics,"45,000",AUD,Years,4.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/business-administration-and-arts-b2046?international=true,English,A,"Why study a double degree in Business Administration and Arts? With Business Administration, you'll gain the crucial management and administration skills required for a career in business. With Arts, you can choose from almost 40 major and minor areas of study.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Business Administration and Arts,Business & Economics,"45,000",AUD,Years,4.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/business-administration-and-arts-b2046?international=true,English,A,"Why study a double degree in Business Administration and Arts? With Business Administration, you'll gain the crucial management and administration skills required for a career in business. With Arts, you can choose from almost 40 major and minor areas of study.",Australia,No,Yes,No,Yes,No,
