Face_to_Face,City,Prerequisite_1,Availability,Part_Time,Duration,Distance,Currency,University,Description,Remarks,Prerequisite_2_grade_2,Full_Time,Prerequisite_2,Prerequisite_3_grade_3,Int_Fees,Blended,Duration_Time,Prerequisite_1_grade_1,Level_Code,Course_Lang,Prerequisite_3,Offline,Website,Country,Local_Fees,Career_Outcomes/path,Course,Currency_Time,Online,Faculty
Yes,Brisbane,ATAR,A,No,4.0,No,AUD,Queensland University of Technology,"Develop skills in cinematography, editing, sound or directing, or learn how to be a producer or scriptwriter. Showcase your work to industry professionals and external clients at public screenings. Choose from a range of genres including documentary, drama, television, experimental film while exploring digital and mobile platforms. Graduates have made films or programs that have won Oscars, Emmy, BAFTA, AFI and IF awards, and screened at major international and Australian film festivals. Complete 2 separate degrees in 4 years full-time. Complement your film, screen and new media skills with a business major in accountancy, advertising, economics, finance, financial planning, human resource management, international business, management, marketing or public relations.",,6.5,Yes,IELTS,Year 12,"31,000",No,Years,79.00,BA,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-business-bachelor-of-fine-arts-film-screen-and-new-media,Australia,"13,500","Academic, Account Executive, Advertising Professional, Advertising and New Media Professional, Artist, Creative Entrepreneur, Digital Content Producer, Director, Entrepreneur, Film Composer, Film/Television Producer, Financial Project Manager, Internet Professional, Lighting Designer, Lighting Technician, Manager, Market Research Manager, Marketing Officer/Manager, Media Industry Specialist, Multimedia Designer, Post-production specialist, Producer, Project Manager, Public Relations Officer/Consultant, Sound and Music Producer, Technical Officer, Visual Arts Teacher","Bachelor of Business/Bachelor of Fine Arts (Film, Screen and New Media)",Years,No,Double Degree
Yes,Brisbane,ATAR,A,No,4.0,No,AUD,Queensland University of Technology,"Develop skills in cinematography, editing, sound or directing, or learn how to be a producer or scriptwriter. Showcase your work to industry professionals and external clients at public screenings. Choose from a range of genres including documentary, drama, television, experimental film while exploring digital and mobile platforms. Graduates have made films or programs that have won Oscars, Emmy, BAFTA, AFI and IF awards, and screened at major international and Australian film festivals. Complete 2 separate degrees in 4 years full-time. Complement your film, screen and new media skills with a business major in accountancy, advertising, economics, finance, financial planning, human resource management, international business, management, marketing or public relations.",,6.5,Yes,IELTS,Year 12,"31,000",No,Years,79.00,BA,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-business-bachelor-of-fine-arts-film-screen-and-new-media,Australia,"13,500","Academic, Account Executive, Advertising Professional, Advertising and New Media Professional, Artist, Creative Entrepreneur, Digital Content Producer, Director, Entrepreneur, Film Composer, Film/Television Producer, Financial Project Manager, Internet Professional, Lighting Designer, Lighting Technician, Manager, Market Research Manager, Marketing Officer/Manager, Media Industry Specialist, Multimedia Designer, Post-production specialist, Producer, Project Manager, Public Relations Officer/Consultant, Sound and Music Producer, Technical Officer, Visual Arts Teacher","Bachelor of Business/Bachelor of Fine Arts (Film, Screen and New Media)",Years,No,Double Degree
Yes,Brisbane,ATAR,A,No,4.0,No,AUD,Queensland University of Technology,"Study studio practice and art history to develop a sophisticated understanding of modern and contemporary visual arts for application in the classroom. Complete 2 separate degrees in 4 years full-time. Work across a broad range of media in an open-studio model, focusing on contemporary art practices. Study a business major in accountancy, advertising, economics, finance, financial planning, human resource management, international business, management, marketing, or public relations.",,6.5,Yes,IELTS,Year 12,"31,000",No,Years,N/A,BA,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-business-bachelor-of-fine-arts-visual-arts,Australia,"13,500","Academic, Account Executive, Administrator, Advertising Professional, Art Project Manager, Artist, Arts Administrator, Creative Entrepreneur, Manager, Market Research Manager, Marketing Officer/Manager, Public Relations Officer/Consultant, Visual Artist",Bachelor of Business/Bachelor of Fine Arts (Visual Arts),Years,No,Double Degree
Yes,Brisbane,ATAR,A,No,4.0,No,AUD,Queensland University of Technology,"Study studio practice and art history to develop a sophisticated understanding of modern and contemporary visual arts for application in the classroom. Complete 2 separate degrees in 4 years full-time. Work across a broad range of media in an open-studio model, focusing on contemporary art practices. Study a business major in accountancy, advertising, economics, finance, financial planning, human resource management, international business, management, marketing, or public relations.",,6.5,Yes,IELTS,Year 12,"31,000",No,Years,N/A,BA,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-business-bachelor-of-fine-arts-visual-arts,Australia,"13,500","Academic, Account Executive, Administrator, Advertising Professional, Art Project Manager, Artist, Arts Administrator, Creative Entrepreneur, Manager, Market Research Manager, Marketing Officer/Manager, Public Relations Officer/Consultant, Visual Artist",Bachelor of Business/Bachelor of Fine Arts (Visual Arts),Years,No,Double Degree
Yes,Brisbane,ATAR,A,No,4.0,No,AUD,Queensland University of Technology,"Gain a competitive advantage over other games and interactive environments graduates with highly developed business knowledge. Complete 2 separate degrees in 4 years full-time. Be a part of Queensland’s leading video game industry, responsible for titles such as Hellboy and Star Wars: The Force Unleashed. Specialise in animation, digital media, game design or software technologies Major in accountancy, advertising, economics, finance, financial planning, human resource management, international business, management, marketing, or public relations.",,6.5,Yes,IELTS,Year 12,"33,500",No,Years,79.00,BA,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-business-bachelor-of-games-and-interactive-environments,Australia,"11,200","Account Executive, Accountant, Advertising Professional, Advertising and New Media Professional, Animator, Banker, Banking and Finance Professional, Branding Specialist, Certified Practicing Accountant, Computer Game Programmer, Computer Games Developer, Digital Communication Specialist, Digital Content Designer , Digital Content Producer, Digital Strategist, Economist, Financial Advisor/Analyst, Forensic Accountant, Games Developer , International Business Specialist, Investment Banker, Market Research Manager, Marketing Officer/Manager, Media or Communications Adviser, Public relations manager, Sound Designer",Bachelor of Business/Bachelor of Games and Interactive Environments,Years,No,Double Degree
Yes,Brisbane,ATAR,A,No,4.0,No,AUD,Queensland University of Technology,"Gain expertise in business and information technology to become more attractive to employers looking for multidiscipline staff. Complete 2 separate degrees in 4 years full-time. Study in a specialty area such as computer science or information systems. Major in accountancy, advertising, economics, finance, financial planning, human resource management, international business, management, marketing, or public relations.",,6.5,Yes,IELTS,Year 12,"33,400",No,Years,79.00,BA,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-business-bachelor-of-information-technology,Australia,"11,400","Academic, Account Executive, Accountant, Administrator, Advertising Professional, Banker, Banking and Finance Professional, Economist, Financial Project Manager, Financial Risk Manager, Human Resource Developer, Human Resource Manager, International Business Specialist, Manager, Market Research Manager, Marketing Officer/Manager, Public Relations Officer/Consultant",Bachelor of Business/Bachelor of Information Technology,Years,No,Double Degree
Yes,Brisbane,ATAR,A,No,4.0,No,AUD,Queensland University of Technology,"Select study areas from both justice and business to align with your interests. Get industry experience through internships and work placements in government departments and agencies. Develop business skills and be able to think creatively and critically, communicate professionally, make ethical business decisions and work in a global context. Learn from the best with lecturers from industry and regular guest lecturers. Complete 2 separate degrees in 4 years full time.",,6.5,Yes,IELTS,Year 12,"31,400",No,Years,79.00,BA,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-business-bachelor-of-justice,Australia,"14,500","Business Advisor, Business Analyst, Community Worker, Diplomat, Government Officer, Information Officer, Ministerial policy adviser, Police Officer (Australian Federal), Police Officer (State), Policy Officer, Policy analyst, Project Manager",Bachelor of Business/Bachelor of Justice,Years,No,Double Degree
Yes,Brisbane,ATAR,A,No,66.0,No,AUD,Queensland University of Technology,"Gain a valuable commercial perspective, ideal for specialist areas such as corporate law, company takeovers, mergers and acquisitions, corporate governance, compliance law, taxation law, insolvency practice and intellectual property law. Complete 2 separate degrees in 5.5 years full-time. Study a business major in accountancy, advertising, economics, finance, financial planning, human resource management, international business, management, marketing, or public relations. Benefit from meaningful connections with high profile industry employers and classes with leading and internationally renowned law experts. Attend classes with leading and expert teachers Join work placements and hands-on learning experiences that will prepare you for the real world of law Obtain international study and placement opportunities during your studies Study at inner city facilities including the QUT Law Library and courtrooms Access a range of scholarships and support to assist you with your studies, life at uni and preparation for your career.",,6.5,Yes,IELTS,Year 12,"30,800",No,Months,87.00,HONS,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-business-bachelor-of-laws-honours,Australia,"14,500","Accountant, Advertising Professional, Banker, Banking and Finance Professional, Business Analyst, Commercialisation Officer, Corporate Secretary, Crown Law Officer, Digital Economy Lawyer, Economist, Financial Advisor/Analyst, Financial Project Manager, Funds Manager, In-House Lawyer, International Business Specialist, Investment Manager, Lawyer, Manager, Market Research Manager, Marketing Officer/Manager, Policy Officer, Risk Manager, Solicitor, Stockbroker",Bachelor of Business/Bachelor of Laws (Honours),Years,No,Double Degree
Yes,Brisbane,ATAR,A,No,4.0,No,AUD,Queensland University of Technology,"Prepares you to undertake sophisticated economic and financial modelling that is crucial to the business world Complete 2 separate degrees in 4 years full-time Study a business major in accountancy, advertising, economics, finance, financial planning, human resource management, international business, management, marketing, or public relations Specialise in applied and computational mathematics, operations research, or statistics.",,6.5,Yes,IELTS,Year 12,"31,700",No,Years,89.00,BA,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-business-bachelor-of-mathematics,Australia,"9,600","Account Executive, Accountant, Actuary, Banker, Banking and Finance Professional, Business Analyst, Certified Practicing Accountant, Corporate Secretary, Economist, Financial Advisor/Analyst, Financial Project Manager, Funds Manager, Government Officer, Investment Manager, Market Research Manager, Mathematician, Quantitative Analyst, Risk Manager, Statistician, Stockbroker",Bachelor of Business/Bachelor of Mathematics,Years,No,Double Degree
Yes,Brisbane,ATAR,A,No,54.0,No,AUD,Queensland University of Technology,"Graduate with a powerful blend of expertise and pursue a range of careers or build social entrepreneurship ventures. Develop business and education skills and be able to think creatively and critically, communicate professionally, make ethical business decisions and work in a global context. Teach in the classrooms of today and the future, guided by your teaching areas. Graduate with deep knowledge and experience in your chosen business major, equipping you as a professional in your chosen discipline. Gain extensive classroom experience through professional experience placements organised by QUT. Gain experience through business internships, work placements and projects in a broad range of industry organisations.",,6.5,Yes,IELTS,Year 12,"31,400",No,Months,79.00,BA,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-education-secondary-bachelor-of-business,Australia,"9,200","Accountant, Administrator, Advertising Professional, Advertising and New Media Professional, Banking and Finance Professional, Branding Specialist, Communication Strategist, Copywriter, Educator, English Teacher, Financial Advisor/Analyst, Human Resource Manager, Manager, Marketing Officer/Manager, Public Affairs Manager, , Public relations manager, Secondary School Teacher, Teacher",Bachelor of Education (Secondary)/Bachelor of Business,Years,No,Double Degree
Yes,Brisbane,ATAR,A,No,54.0,No,AUD,Queensland University of Technology,"Graduate with a powerful blend of expertise and pursue a range of careers or build social entrepreneurship ventures. Develop business and education skills and be able to think creatively and critically, communicate professionally, make ethical business decisions and work in a global context. Teach in the classrooms of today and the future, guided by your teaching areas. Graduate with deep knowledge and experience in your chosen business major, equipping you as a professional in your chosen discipline. Gain extensive classroom experience through professional experience placements organised by QUT. Gain experience through business internships, work placements and projects in a broad range of industry organisations.",,6.5,Yes,IELTS,Year 12,"31,400",No,Months,79.00,BA,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-education-secondary-bachelor-of-business,Australia,"9,200","Accountant, Administrator, Advertising Professional, Advertising and New Media Professional, Banking and Finance Professional, Branding Specialist, Communication Strategist, Copywriter, Educator, English Teacher, Financial Advisor/Analyst, Human Resource Manager, Manager, Marketing Officer/Manager, Public Affairs Manager, , Public relations manager, Secondary School Teacher, Teacher",Bachelor of Education (Secondary)/Bachelor of Business,Years,No,Double Degree
Yes,Brisbane,ATAR,A,No,4.0,No,AUD,Queensland University of Technology,"Specialise in both human services and business to prepare for employment in organisations that provide support to individuals, families, and communities who are experiencing social or economic adversity. Choose from 10 business majors to develop knowledege in competitive tendering, marketing, project management, human resources, accounting and management of budgets. 500 hours of human services placement including opportunities for overseas placements.",,6.5,Yes,IELTS,Year 12,"31,400",No,Years,79.00,BA,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-human-services-bachelor-of-business,Australia,"14,500","Business Development Officer, Case Manager, Child Protection Officer, Community Corrections Officer, Community Education Officer, Director of Health Programs and Services, Disability Services Worker, Family Services Officer, Health Policy Officer, Health Promotion Officer, Health Services Manager, Human Resource Manager, Human Services Practitioner, Marketing Officer/Manager, Youth Worker",Bachelor of Human Services/Bachelor of Business,Years,No,Double Degree
Yes,Brisbane,ATAR,A,No,4.0,No,AUD,Queensland University of Technology,"Specialise in both human services and business to prepare for employment in organisations that provide support to individuals, families, and communities who are experiencing social or economic adversity. Choose from 10 business majors to develop knowledege in competitive tendering, marketing, project management, human resources, accounting and management of budgets. 500 hours of human services placement including opportunities for overseas placements.",,6.5,Yes,IELTS,Year 12,"31,400",No,Years,79.00,BA,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-human-services-bachelor-of-business,Australia,"14,500","Business Development Officer, Case Manager, Child Protection Officer, Community Corrections Officer, Community Education Officer, Director of Health Programs and Services, Disability Services Worker, Family Services Officer, Health Policy Officer, Health Promotion Officer, Health Services Manager, Human Resource Manager, Human Services Practitioner, Marketing Officer/Manager, Youth Worker",Bachelor of Human Services/Bachelor of Business,Years,No,Double Degree
Yes,Brisbane,ATAR,A,No,4.0,No,AUD,Queensland University of Technology,Gain expertise in science and business to equip yourself for an exciting career at the cutting edge of scientific innovation. Complete 2 separate degrees in 4 years full-time. Develop the entrepreneurial skills necessary to sell your abilities to a range of employers.,,6.5,Yes,IELTS,Year 12,"34,000",No,Years,79.00,BA,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-science-bachelor-of-business,Australia,"11,700","Account Executive, Accountant, Advertising Professional, Analytical Chemist, Astrophysicist, Banker, Banking and Finance Professional, Biochemist, Biologist, Biotechnologist, Biotechnology Scientist, , Business Analyst, Chemist, Chemist Industrial, Coastal Scientist, Conservation Biologist, Ecologist, Economist, Environmental Health Officer, Environmental Scientist, Environmental manager, Exploration Geologist, Financial Advisor/Analyst, Financial Project Manager, Forensic Biologist, Forensic Chemist, Funds Manager, Geologist, Geophysicist, Geoscientist, Government Officer, Human Resource Developer, Human Resource Manager, Hydrogeologist, Industrial Chemist, International Business Specialist, Inventor, Investment Manager, Laboratory Assistant, Laboratory Technician (Chemistry), Life scientist, Manager, Mapping Scientist/Photogrammetrist, Marine Scientist, Marketing Officer/Manager, Medical Physicist, Microbiologist, Mine Geologist, Molecular Biologist, Natural Resource Scientist, Physicist, Plant Biotechnologist, Policy Officer, Policy analyst, Population Ecologist, Project Manager, Public Relations Officer/Consultant, Scientist, Stockbroker",Bachelor of Science/Bachelor of Business,Years,No,Double Degree
Yes,Brisbane,ATAR,A,Yes,1.0,No,AUD,Queensland University of Technology,Study dynamic and contemporary issues in accountancy. Work with a supervisor to integrate what you’ve learnt in your degree to complete a thesis in your field of study. Complete in 2 semesters full-time or 4 semesters part-time.,,6.5,Yes,IELTS,Year 12,"33,000",Yes,Year,N/A,HONS,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-business-honours-accountancy,Australia,"14,500","Business Analyst, Business Risk and Governance Consultant, Certified Practicing Accountant, Chartered Accountant, Chief Financial Officer, Corporate Secretary, Financial Controller, Financial Project Manager, Forensic Accountant, Funds Manager, Investment Manager, Property Development",Bachelor of Business (Honours) (Accountancy),Years,No,Business
Yes,Brisbane,ATAR,A,Yes,1.0,No,AUD,Queensland University of Technology,Study dynamic and contemporary issues in economics. Work with a supervisor to integrate what you’ve learnt in your degree to complete a thesis in your field of study. Complete in 2 semesters full-time or 4 semesters part-time.,,6.5,Yes,IELTS,Year 12,"33,000",Yes,Year,N/A,HONS,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-business-honours-economics,Australia,"14,500",Economist,Bachelor of Business (Honours) (Economics),Years,No,Business
Yes,Brisbane,ATAR,A,Yes,1.0,No,AUD,Queensland University of Technology,Study dynamic and contemporary issues in finance. Work with a supervisor to integrate what you’ve learnt in your degree to complete a thesis in your field of study. Complete in 2 semesters full-time or 4 semesters part-time.,,6.5,Yes,IELTS,Year 12,"33,000",Yes,Year,N/A,HONS,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-business-honours-finance,Australia,"14,500","Banker, Banking and Finance Professional, Financial Project Manager, Funds Manager, Stockbroker",Bachelor of Business (Honours) (Finance),Years,No,Business
Yes,Brisbane,ATAR,A,Yes,1.0,No,AUD,Queensland University of Technology,Study dynamic and contemporary issues in financial planning. Work with a supervisor to integrate what you’ve learnt in your degree to complete a thesis in your field of study. Complete in 2 semesters full-time or 4 semesters part-time.,,6.5,Yes,IELTS,Year 12,"33,000",Yes,Year,N/A,HONS,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-business-honours-financial-planning,Australia,"14,500","Financial Advisor, Financial Planner, Investment Manager, Superannuation Advisor",Bachelor of Business (Honours) (Financial Planning),Years,No,Business
Yes,Brisbane,ATAR,A,Yes,6.0,No,AUD,Queensland University of Technology,"Discipline studies designed to extend your real-world accounting knowledge and skills. In certain circumstances, you may have the opportunity to build on your undergraduate accounting studies to gain eligibility for enrolment in the Australian professional accounting bodies’ respective professional programs. Study contemporary business issues such as taxation law and practice, financial accounting and reporting, and auditing for assurance. Opportunities to progress on to the Master of Business. Complete in 1 semester full-time or 2 semesters part-time at our convenient city campus. Find out more at our upcoming MBA and Postgraduate Business Information Event.",,6.5,Yes,IELTS,Year 12,"16,500",Yes,Months,N/A,GCERT,English,Equivalent ,Yes,https://www.qut.edu.au/courses/graduate-certificate-in-business-accounting,Australia,"14,200","Accountant, Actuary",Graduate Certificate in Business (Accounting),Years,No,Business
Yes,Brisbane,ATAR,A,Yes,6.0,No,AUD,Queensland University of Technology,"Choose a multidisciplinary specialisation, which allows you to select from any discipline area to suit your personal requirements. Opportunities to progress on to the Master of Business. Complete in 1 semester full-time or 2 semesters part-time. Find out more at our upcoming MBA and Postgraduate Business Information Event.",,6.5,Yes,IELTS,Year 12,"16,500",Yes,Months,N/A,GCERT,English,Equivalent ,Yes,https://www.qut.edu.au/courses/graduate-certificate-in-business-applied-finance,Australia,"14,200","Business Analyst, Financial Project Manager",Graduate Certificate in Business (Applied Finance),Years,No,Business
Yes,Brisbane,ATAR,A,Yes,6.0,No,AUD,Queensland University of Technology,"Behavioural economics combines insights from economics and psychology Gain foundational knowledge and analytical skills that are at the intersection of economics and psychology to analyse issues and challenges relevant to industry, government and society. Pursue successful careers as economists, policy makers, business analysts, risk managers, and many other related occupations. Complete in 1 semester full-time or 2 semesters part-time.",,6.5,Yes,IELTS,Year 12,"16,500",Yes,Months,N/A,GCERT,English,Equivalent ,Yes,https://www.qut.edu.au/courses/graduate-certificate-in-business-behavioural-economics,Australia,"14,200","Business Analyst, Business Risk and Governance Consultant, Economist, Policy Officer, Policy analyst, Risk Manager, Senior policy officer",Graduate Certificate in Business (Behavioural Economics),Years,No,Business
Yes,Brisbane,ATAR,A,Yes,6.0,No,AUD,Queensland University of Technology,You must be a current registered financial adviser on the ASIC Financial Advisers Register to enrol in this course. Ideal for financial advisers who need to complete one or more of the bridging units to meet FASEA educational requirements. Engage with real-world financial problems throughout your degree.,,6.5,Yes,IELTS,Year 12,"16,500",Yes,Months,N/A,GCERT,English,Equivalent ,Yes,https://www.qut.edu.au/courses/graduate-certificate-in-business-financial-planning,Australia,"14,200","Financial Advisor, Financial Planner, Investment Manager, Superannuation Advisor",Graduate Certificate in Business (Financial Planning),Years,No,Business
Yes,Brisbane,ATAR,A,Yes,6.0,No,AUD,Queensland University of Technology,"Provides advanced theoretical, technical and practical knowledge and skills to investigate fraud and accounting related situations. Enhance your accounting career through a formal additional qualification in a growing professional area. The only postgraduate forensic accounting degree offered by a Queensland university. On completion of the Graduate Certificate in Business (Forensic Accounting) students may be eligible for credit towards a Master of Business (Accounting). Find out more at our upcoming MBA and Postgraduate Business Information Event.",,6.5,Yes,IELTS,Year 12,"16,500",Yes,Months,N/A,GCERT,English,Equivalent ,Yes,https://www.qut.edu.au/courses/graduate-certificate-in-business-forensic-accounting,Australia,"14,200",No career outcomes provided,Graduate Certificate in Business (Forensic Accounting),Years,No,Business
Yes,Brisbane,ATAR,A,Yes,6.0,No,AUD,Queensland University of Technology,"Choose a multidisciplinary specialisation, which allows you to select from any discipline area to suit your personal requirements. Opportunities to progress on to the Master of Business. Complete in 1 semester full-time or 2 semesters part-time. Find out more at our upcoming MBA and Postgraduate Business Information Event.",,6.5,Yes,IELTS,Year 12,"16,500",Yes,Months,N/A,GCERT,English,Equivalent ,Yes,https://www.qut.edu.au/courses/graduate-certificate-in-business-interdisciplinary,Australia,"14,200",No career outcomes provided,Graduate Certificate in Business (Interdisciplinary),Years,No,Business
Yes,Brisbane,ATAR,A,Yes,6.0,No,AUD,Queensland University of Technology,"Ideal for graduates who do not have an undergraduate degree in accountancy or who need to build on their undergraduate level accounting studies to gain eligibility to progress onto the Australian professional accounting bodies’ respective professional programs Study professional accounting foundation units such as business and corporations law, cost and management accounting and managerial finance Pathway to QUT’s Graduate Diploma in Business (Professional Accounting) and Master of Business (Professional Accounting) Developed in consultation with industry, our programs incorporate real-world case analysis, activities and workplace projects Units can be studied at our convenient city campus or online Find out more at our upcoming MBA and Postgraduate Business Information Event.",,6.5,Yes,IELTS,Year 12,"16,500",Yes,Months,N/A,GCERT,English,Equivalent ,Yes,https://www.qut.edu.au/courses/graduate-certificate-in-business-professional-accounting,Australia,"14,200",No career outcomes provided,Graduate Certificate in Business (Professional Accounting),Years,No,Business
Yes,Brisbane,ATAR,A,Yes,1.0,No,AUD,Queensland University of Technology,"Get prepared for a career as a financial planner, financial advisor, investment manager or superannuation adviser. This course is ideal if you are interested in changing your career to financial planning, or if you are an existing financial planner and want to extend or upgrade your current qualification. Develop technical skills as well as communication skills in order to understand your clients’ needs and communicate effectively and professionally. Build expertise in the fields of taxation, cash flow modelling, superannuation, insurance and investment planning to suit a diverse range of clients and contexts. Graduates who complete the degree will satisfy the education requirements to seek membership with Financial Planning Association of Australia (FPA). As a student of this degree you can become affiliated with the FPA at no charge gaining valuable access to career development activities and resources of the FPA. This course is also approved by the Financial Advisers Standards and Ethics Authority (FASEA). A FASEA approved degree is mandatory in order to practice as a financial planner or advisor in Australia.",,6.5,Yes,IELTS,Year 12,"33,100",Yes,Year,N/A,GDIP,English,Equivalent ,Yes,https://www.qut.edu.au/courses/graduate-diploma-in-business-financial-planning,Australia,"28,300","Financial Advisor, Financial Planner, Investment Manager, Superannuation Advisor",Graduate Diploma in Business (Financial Planning),Years,No,Business
Yes,Brisbane,ATAR,A,Yes,1.0,No,AUD,Queensland University of Technology,"Alternative pathway for PhD candidates who require necessary research training and experience. Study discipline coursework and research methods, before completing a supervised research dissertation. Complete in 2 semesters full-time or 4 semesters part-time.",,6.5,Yes,IELTS,Year 12,"33,000",Yes,Year,N/A,GDIP,English,Equivalent ,Yes,https://www.qut.edu.au/courses/graduate-diploma-in-business-research-accountancy,Australia,"28,600",No career outcomes provided,Graduate Diploma in Business (Research) (Accountancy),Years,No,Business
Yes,Brisbane,ATAR,D,Yes,23.0,No,AUD,Queensland University of Technology,"Ranked number 1 in Queensland and 2 nationally by the Australian Financial Review BOSS EMBA ranking in 2019. Awarded five stars by the Graduate Management Association of Australia in 2017. Our unique EMBA program is offered in both Brisbane and Canberra. Find out more at our upcoming information evenings in Brisbane and Canberra. As business challenges no longer reside within the neat, predictable framework of a single discipline, this program enables you to take a truly multi-disciplinary view of each new business challenge. Participate in an international study tour to MIT in Boston or Europe, where you will develop essential capabilities around entrepreneurship and digital transformation and the leadership of complex projects. Work with your leadership coach to establish clear goals for your career path and personal life. Undertake a leadership practicum, shadowing a senior executive from industry, commerce or government in the second year of your program. Study weekend classes in a 23 month intensive part-time mode.",,6.5,Yes,IELTS,Year 12, N/A,Yes,Months,N/A,MST,English,Equivalent ,Yes,https://www.qut.edu.au/courses/executive-master-of-business-administration,Australia,"3,072",No career outcomes provided,Executive Master of Business Administration (EMBA),Years,No,Business
Yes,Canberra,ATAR,D,Yes,23.0,No,AUD,Queensland University of Technology,"Ranked number 1 in Queensland and 2 nationally by the Australian Financial Review BOSS EMBA ranking in 2019. Awarded five stars by the Graduate Management Association of Australia in 2017. Our unique EMBA program is offered in both Brisbane and Canberra. Find out more at our upcoming information evenings in Brisbane and Canberra. As business challenges no longer reside within the neat, predictable framework of a single discipline, this program enables you to take a truly multi-disciplinary view of each new business challenge. Participate in an international study tour to MIT in Boston or Europe, where you will develop essential capabilities around entrepreneurship and digital transformation and the leadership of complex projects. Work with your leadership coach to establish clear goals for your career path and personal life. Undertake a leadership practicum, shadowing a senior executive from industry, commerce or government in the second year of your program. Study weekend classes in a 23 month intensive part-time mode.",,6.5,Yes,IELTS,Year 12, N/A,Yes,Months,N/A,MST,English,Equivalent ,Yes,https://www.qut.edu.au/courses/executive-master-of-business-administration,Australia,"3,072",No career outcomes provided,Executive Master of Business Administration (EMBA),Years,No,Business
Yes,Brisbane,ATAR,A,Yes,2.0,No,AUD,Queensland University of Technology,"This 2 year program can be completed in 1.5 years if you have a recognised Australian or New Zealand bachelor degree in accounting. See entry requirements for details. Hone your analytical, decision-making, communication and problem solving skills to advance your career Study contemporary business issues, such as taxation law and practice, financial accounting, international capital markets law and regulation, strategic management accounting and governance issues in accounting Prepare yourself for a career in wealth management and financial forensics, business intelligence and investigation, and business analysis Your knowledge and research skills are developed throughout the course and taken to an advanced level in the capstone unit where you will learn the process of how to deal with the problems typically faced by professional advisors and consultants Find out more at our upcoming MBA and Postgraduate Business Information Event.",,6.5,Yes,IELTS,Year 12,"33,100",Yes,Years,N/A,MST,English,Equivalent ,Yes,https://www.qut.edu.au/courses/master-of-business-accounting,Australia,"28,400","Business Analyst, Business Risk and Governance Consultant, Certified Practicing Accountant, Chartered Accountant, Chief Financial Officer, Corporate Secretary, Financial Controller, Financial Project Manager, Forensic Accountant, Funds Manager, Property Development, Stockbroker",Master of Business (Accounting),Years,No,Business
Yes,Brisbane,ATAR,A,Yes,2.0,No,AUD,Queensland University of Technology,"This 2 year program can be completed in 1.5 years if you have a bachelor degree in business or a related field. See entry requirements for details. Ideal for graduates with limited or no previous qualifications in finance looking for a career change. Study corporate finance, security analysis, financial markets and institutions, advanced capital budgeting and economic and financial modelling Prepares you for a career as an investment banker or equity analyst Your knowledge and research skills are developed throughout the course and taken to an advanced level in the capstone unit where you will demonstrate your ability to apply evidence-based judgments Find out more at our upcoming MBA and Postgraduate Business Information Event.",,6.5,Yes,IELTS,Year 12,"33,100",Yes,Years,N/A,MST,English,Equivalent ,Yes,https://www.qut.edu.au/courses/master-of-business-applied-finance,Australia,"28,400","Banking and Finance Professional, Business Analyst, Financial Project Manager, Investment Manager, Risk Manager, Stockbroker",Master of Business (Applied Finance),Years,No,Business
Yes,Brisbane,ATAR,A,Yes,2.0,No,AUD,Queensland University of Technology,"This 2 year program can be completed in 1.5 years if you have a bachelor degree in business or a related field. See entry requirements for details. Ideal for graduates who do not have an undergraduate degree in accountancy and wish to obtain a professional accountancy qualification for a career change Hone your analytical, decision-making, communication and problem solving skills to advance your career Study business and corporations law, taxation law and practice and international capital markets law and regulation Meet the academic requirements for membership of CPA Australia, Chartered Accountants Australia and New Zealand, and the Institute of Public Accountants Graduates are accredited by the Association of Chartered Certified Accountants and the Chartered Institute of Management Accountants Find out more at our upcoming MBA and Postgraduate Business Information Event.",,6.5,Yes,IELTS,Year 12,"33,100",Yes,Years,N/A,MST,English,Equivalent ,Yes,https://www.qut.edu.au/courses/master-of-business-professional-accounting,Australia,"28,400",Accountant,Master of Business (Professional Accounting),Years,No,Business
