Faculty,Prerequisite_1_grade_1,Prerequisite_3,Prerequisite_2_grade_2,Currency_Time,City,Int_Fees,Career_Outcomes/path,Prerequisite_3_grade_3,Offline,Full_Time,Online,Local_Fees,Course_Lang,Website,Face_to_Face,University,Availability,Part_Time,Country,Blended,Course,Distance,Prerequisite_1,Duration_Time,Duration,Level_Code,Currency,Remarks,Description,Prerequisite_2
"Science and Agriculture, Business and Law",72.55,,,Years,Armidale,,Fully credited exchange programs of one trimester are in place with international universities.,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BCOMP,Yes,University of New England,A,Yes,Australia,No,Bachelor of Computer Science,Yes,ATAR,Years,3.0,BA,AUD,,"The Bachelor of Computer Science teaches students the strong programming, technical, mathematical, and problem-solving skills that they will need in their careers. ",
"Science and Agriculture, Business and Law",84.40,,,Years,Armidale,,"To be admitted to the Honours stream, candidates must have completed 72 credit points of law units at UNE with a grade point average (GPA) of 5.5 or better.",,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BCSLAW,Yes,University of New England,A,Yes,Australia,No,Bachelor of Computer Science/Bachelor of Laws,Yes,ATAR,Years,5.0,BA,AUD,,"The University of New England offers a flexible approach to the study of law. UNE boasts one of Australia's largest law schools outside a capital city, as well as being an early adopter of innovative technology in the delivery of its law programs. The Bachelor of Laws is accredited by the Legal Profession Admission Board of NSW for admission as a legal practitioner in NSW and mutual recognition legislation extends admission to other Australian jurisdictions.",
"Humanities, Arts, Social Sciences and Education",72.55,,,Years,Armidale,,"To be admitted to the Honours stream, candidates must have completed 72 credit points of law units at UNE with a grade point average (GPA) of 5.5 or better.",,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BCRIM,Yes,University of New England,A,Yes,Australia,No,Bachelor of Criminology,Yes,ATAR,Years,3.0,BA,AUD,,"The Bachelor of Criminology at UNE is an inter-disciplinary degree that draws upon areas of study such as criminology, forensic science, law and criminal justice, and the sociology of deviance. Students are able to specialise in a particular major while still choosing a number of core and additional elective units that examine criminal law and procedures, policing, punishment, prisons, forensic science, theories of crime, rural crime and juvenile delinquency. The degree also offers students the opportunity to undertake training in research methods, apply theory to practice and investigate geographical differences and inequities within criminal justice in Australia. The degree provides hands-on experience within the criminal justice system through CRIM312 and also through our WorkReady program. Graduates of a Bachelor of Criminology can seek employment in a wide-range of sectors, including: border control, correctional facilities, crime prevention agencies, government and policy agencies, intelligence and security, juvenile justice, police service and welfare.",
"Science and Agriculture, Business and Law",84.40,,,Years,Armidale,,"The Bachelor of Laws is accredited by the Legal Profession Admission Board of NSW for admission as a legal practitioner in NSW and mutual recognition legislation extend admission to other Australian jurisdictions. Upon completion of the LLB, graduates may complete a period of practical legal training (PLT) and be qualified to apply for admission as an Australian Lawyer. After admission you are then eligible to apply for a practising certificate as a solicitor from the Law Society of NSW or undertake further studies to obtain a practising certificate as a barrister from the Bar Association of NSW. ",,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BCRLAW,Yes,University of New England,A,Yes,Australia,No,Bachelor of Criminology/ Bachelor of Laws,Yes,ATAR,Years,5.0,BA,AUD,,"The University of New England offers a flexible approach to the study of law. UNE boasts one of Australia's largest law schools outside a capital city, as well as being an early adopter of innovative technology in the delivery of its law programs. The Bachelor of Laws is accredited by the Legal Profession Admission Board of NSW for admission as a legal practitioner in NSW and mutual recognition legislation extends admission to other Australian jurisdictions.",
"Science and Agriculture, Business and Law",72.55,,,Years,Armidale,,"The Bachelor of Laws is accredited by the Legal Profession Admission Board of NSW for admission as a legal practitioner in NSW and mutual recognition legislation extend admission to other Australian jurisdictions. Upon completion of the LLB, graduates may complete a period of practical legal training (PLT) and be qualified to apply for admission as an Australian Lawyer. After admission you are then eligible to apply for a practising certificate as a solicitor from the Law Society of NSW or undertake further studies to obtain a practising certificate as a barrister from the Bar Association of NSW. ",,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BEC,Yes,University of New England,A,Yes,Australia,No,Bachelor of Economics,Yes,ATAR,Years,3.0,BA,AUD,,"Our Bachelor of Economics is a versatile and relevant business and professional qualification. This degree is for you if you are interested in economics, commerce, business and finance, and enjoy problem solving and critical thinking. ",
"Science and Agriculture, Business and Law",84.40,,,Years,Armidale,,"The Bachelor of Laws is accredited by the Legal Profession Admission Board of NSW for admission as a legal practitioner is NSW and mutual recognition legislation extends admission to other Australian jurisdictions. Career opportunities involve legal practice as a solicitor or barrister, in-house legal counsel or work in many areas of government and business including finance companies, banks, regulatory bodies, government departments, consultancy and research firms, international organisations, positions in federal and state public services as policy officers, analysts, economic modellers, advisers, trade and industry officers; private-sector positions in financial management, forecasting, insurance and agribusiness firms; commodities or futures trader; importer/exporter; or international positions with agencies such as the World Bank, the International Monetary Fund and the United Nations.",,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BECLAW,Yes,University of New England,A,Yes,Australia,No,Bachelor of Economics/Bachelor of Laws,Yes,ATAR,Years,5.0,BA,AUD,,"The Bachelor of Economics/Bachelor of Laws double degree will give you a solid understanding of Australian law, along with an in-depth knowledge of how the economy works. You'll graduate with a wide range of skills that will make you a flexible and relevant professional, able to work in a wide variety of careers.",
"Humanities, Arts, Social Sciences and Education",77.10,,,Years,Armidale,,UNE offers pathways to teaching for those applicants who do not meet the new admission requirements:,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BEDECP,Yes,University of New England,A,Yes,Australia,No,Bachelor of Education (Early Childhood and Primary),Yes,ATAR,Years,4.0,BA,AUD,,The Bachelor of Education (Early Childhood and Primary) is a unique teacher education course that offers two career options for graduates. It is an initial-teacher education qualification that encompasses working with children from birth to age 12 in both Early Childhood settings and Primary Schools.,
"Humanities, Arts, Social Sciences and Education",77.10,,,Years,Armidale,,"This degree also provides the necessary qualifications for senior positions in early childhood such as, Director of a Centre and teaching in the VET sector. Graduates of the Bachelor of Education (Early Childhood Teaching) have a range of skills including organisational leadership, contemporary pedagogical understandings and interpersonal skills that are highly valued in all areas of life, not just early childhood occupations.",,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BEDEC1,Yes,University of New England,A,Yes,Australia,No,Bachelor of Education (Early Childhood Teaching),Yes,ATAR,Year,1.0,BA,AUD,,This degree is designed to meet the Australian Government's requirements for Early Childhood Education and to qualify graduates as four-year trained Early Childhood Teachers*.,
"Humanities, Arts, Social Sciences and Education",77.10,,,Years,Armidale,,"This degree also provides the necessary qualifications for senior positions in early childhood such as, Director of a Centre and teaching in the VET sector. Graduates of the Bachelor of Education (Early Childhood Teaching) have a range of skills including organisational leadership, contemporary pedagogical understandings and interpersonal skills that are highly valued in all areas of life, not just early childhood occupations.",,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BEDISC,Yes,University of New England,A,Yes,Australia,No,Bachelor of Education (In-service Conversion),Yes,ATAR,Year,1.0,BA,AUD,,"This is a degree with flexibility which offers currently accredited in-service teachers the option of up-skilling to a new sector of teaching, for example, secondary to primary, or primary to secondary. It also allows currently accredited secondary teachers to up-skill to another teaching subject. Finally, it also allows conditionally accredited ""three-year-trained"" teachers to upgrade to four-year trained.",
"Humanities, Arts, Social Sciences and Education",77.10,,,Years,Armidale,,UNE offers pathways to teaching for those applicants who do not meet the new admission requirements:,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BEDK12,Yes,University of New England,A,Yes,Australia,No,Bachelor of Education (K-12 Teaching),Yes,ATAR,Years,4.0,BA,AUD,,The Bachelor of Education (K-12 Teaching) is a unique dual sector teacher education course that offers two career pathways for graduates. It is an undergraduate teacher education qualification that encompasses working in both Primary Schools and Secondary Schools. All candidates complete a NESA or National primary specialisation with a curriculum focus.,
