Faculty,Prerequisite_1_grade_1,Prerequisite_3,Prerequisite_2_grade_2,Currency_Time,City,Int_Fees,Career_Outcomes/path,Prerequisite_3_grade_3,Offline,Full_Time,Online,Local_Fees,Course_Lang,Website,Face_to_Face,University,Availability,Part_Time,Country,Blended,Course,Distance,Prerequisite_1,Duration_Time,Duration,Level_Code,Currency,Remarks,Description,Prerequisite_2
"Science and Agriculture, Business and Law",72.55,,,Years,Armidale,,,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BGEOSC,Yes,University of New England,A,Yes,Australia,No,Bachelor of GeoScience,Yes,ATAR,Years,3.0,BA,AUD,,"This innovative degree provides the opportunity to study a geology degree that incorporates the fundamental core principals of geology coupled with teaching of modern GIS/geospatial geology specific maps and mapping techniques. We capitalise on our location within the New England Orogen that enables us to undertake fieldwork often. The New England Orogen is a great natural laboratory and we have a diverse array of spectacular geology all easily accessible in our 'backyard'. This course includes topics such as field geology, resource geology and environmental issues, optical mineralogy and igneous petrology, ore deposit geology, exploration and environmental geochemistry, structural and metamorphic geology, field mapping and sedimentology, palaeontology and stratigraphy, applied geophysics, among others. ",
"Humanities, Arts, Social Sciences and Education",72.55,,,Years,Armidale,,,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BHIP,Yes,University of New England,A,Yes,Australia,No,Bachelor of Historical Inquiry and Practice,Yes,ATAR,Years,3.0,BA,AUD,,"The Bachelor of Historical Inquiry and Practice focuses specifically on the professional development of historians. As it is recommended for professional historians to engage in the study of a cognate discipline relevant to their chosen professional speciality - and because historical inquiry is now widely accepted as elemental to various professions beyond those conventionally associated with history - this course also includes a field of study opportunity whereby the student's study and training in history may be purposefully combined with other disciplines, to facilitate education in, for example, historical fiction and writing, social history and criminology, family history and sociology, national history and languages, cultural history and music.",
"Humanities, Arts, Social Sciences and Education",72.55,,,Years,Armidale,,,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BILS,Yes,University of New England,A,Yes,Australia,No,Bachelor of International and Language Studies,Yes,ATAR,Years,2.0,BA,AUD,,The Bachelor of International and Language Studies is a four year degree. Students cannot enrol directly into this degree but may only transfer into it after completing 96 credit points in the Bachelor of International Studies (equivalent to two years full-time) then complete a further 96 credit points in the Bachelor of International and Language Studies. The fourth and final year of this degree is comprised of In-Country language study.,
"Humanities, Arts, Social Sciences and Education",72.55,,,Years,Armidale,,,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BIS,Yes,University of New England,A,Yes,Australia,No,Bachelor of International Studies,Yes,ATAR,Years,3.0,BA,AUD,,"The Bachelor of International Studies is a three year degree. The degree comprises units with a global perspective from several disciplines. Topical issues include global security, earth in crisis, Islamic studies, cross-cultural communication, trade, the European Union, and Australia's relations with the US, Asia and the Pacific Islands.",
"Humanities, Arts, Social Sciences and Education",72.55,,,Years,Armidale,,,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BLANG,Yes,University of New England,A,Yes,Australia,No,Bachelor of Languages,Yes,ATAR,Years,4.0,BA,AUD,,"This course is aimed at highly motivated students who wish to learn one or more languages (Chinese [Mandarin], French, German, Italian, Indonesian, Japanese, Spanish) and become well acquainted and familiar with their culture(s). Their skills and knowledge will be further developed and enriched by spending two trimesters studying university courses in the country of their chosen language(s). This broadens graduates' career options and gives them a competitive advantage in today's increasingly multicultural and international workplace environments.",
"Science and Agriculture, Business and Law",72.55,,,Years,Armidale,,,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BLIB,Yes,University of New England,A,Yes,Australia,No,Bachelor of Languages and International Business,Yes,ATAR,Years,4.0,BA,AUD,,"This degree aims to equip students with the language skills (in Chinese, French, German, Italian, Indonesian, Japanese or Spanish), solid international business knowledge, and intercultural and cross-cultural understanding that will enable them to function effectively in an international work environment both in Australia and overseas.",
"Science and Agriculture, Business and Law",90.00,,,Years,Armidale,,"Additionally, a law degree is relevant to a large range of careers including: working in legal aid agencies, advocacy organisations, commercial firms, government departments, banking, commerce, management and a wide range of businesses.",,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BLAWS,Yes,University of New England,A,Yes,Australia,No,Bachelor of Laws (3 Years),Yes,ATAR,Years,3.0,BA,AUD,,"UNE boasts one of Australia's largest law schools outside a capital city, as well as being an early adopter of innovative technology in the delivery of its law programs. The Bachelor of Law (3 years) encourages both a critical and progressive approach to the existing law and legal system; ensuring that students understand both the law and the context.",
"Science and Agriculture, Business and Law",84.40,,,Years,Armidale,,"Additionally, a law degree is relevant to a large range of careers including: working in legal aid agencies, advocacy organisations, commercial firms, government departments, banking, commerce, management and a wide range of businesses.",,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BLAW01,Yes,University of New England,A,Yes,Australia,No,Bachelor of Laws (4 Years),Yes,ATAR,Years,4.0,BA,AUD,,"The University of New England offers a flexible approach to the study of law. UNE boasts one of Australia's largest law schools outside a capital city, as well as being an early adopter of innovative technology in the delivery of its law programs. The Bachelor of Laws (4 year) is designed for people who are new to university study or to the study of law, including school leavers or people who want to change careers or get a qualification.",
"Science and Agriculture, Business and Law",57.70,,,Years,Armidale,,"Additionally, a law degree is relevant to a large range of careers including: working in legal aid agencies, advocacy organisations, commercial firms, government departments, banking, commerce, management and a wide range of businesses.",,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BLS,Yes,University of New England,A,Yes,Australia,No,Bachelor of Legal Studies,Yes,ATAR,Years,3.0,BA,AUD,,"The Bachelor of Legal Studies is a broad and comprehensive course which will provide graduates with a wide legal knowledge and skills in legal reasoning. In particular, this course provides students with the opportunity to design their own program of study after completing the core units. Students may study units of interest from a particular category which will enhance career opportunities in an ever-changing legal services market. The course will also provide career opportunities for those with an interest in a career in policy development and the justice sector.",
"Humanities, Arts, Social Sciences and Education",72.55,,,Years,Armidale,,"Additionally, a law degree is relevant to a large range of careers including: working in legal aid agencies, advocacy organisations, commercial firms, government departments, banking, commerce, management and a wide range of businesses.",,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BMC,Yes,University of New England,A,Yes,Australia,No,Bachelor of Media and Communications,Yes,ATAR,Years,3.0,BA,AUD,,"This course provides up-to-date knowledge of the rapidly changing field of media and communications. It includes film studies, from Australian cinema to Hollywood; television studies; news media; children's media; advertising; digital and social media; screen adaptations; creative and professional writing; and publishing and editing. Students choose to major in 'Media and Culture' or 'Writing and Publishing'. The course develops skills in media research, writing and digital communications, which are relevant to further studies and today's changing workplaces.",
Medicine and Health,72.55,,,Years,Armidale,,"Additionally, a law degree is relevant to a large range of careers including: working in legal aid agencies, advocacy organisations, commercial firms, government departments, banking, commerce, management and a wide range of businesses.",,Yes,Yes,Yes,,English,https://my.une.edu.au/courses/2020/courses/BMSMD,Yes,University of New England,A,No,Australia,No,Bachelor of Medical Science and Doctor of Medicine,Yes,ATAR,Years,5.0,DOC,AUD,,"The Joint Medical Program (JMP) is a two stage five year program comprising of a Bachelor of Medical Science (stage one) and Doctor of Medicine (stage two), offered jointly in partnership by the University of Newcastle and the University of New England.",
"Humanities, Arts, Social Sciences and Education", ,,,Years,Armidale,,Note: Information on the Audition can be accessed from the 'I would like to know more about this course' link below. ,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BMUS,Yes,University of New England,A,Yes,Australia,No,Bachelor of Music,Yes,ATAR,Years,3.0,BA,AUD,,"This program specialises in providing students with comprehensive, creatively focused music training in an online environment. Students build their creative music making skills in songwriting, composition, performance and music technology while developing a thorough knowledge of the historical, cultural and theoretical background of music genres via the study of musicology, ethnomusicology and popular music studies. Additionally, the program fosters advanced musical craft skills in aural and harmony. Throughout their degree students produce a creative and/or research portfolio to enable them to showcase their abilities as they transition into professional careers in the creative industries and education sectors. Graduates of the program are independent, skilled musicians who have established their own creative practices and research methodologies. On completion of the degree, pathways to further study include continuing on to honours and graduate research degrees or graduate degrees in education to pursue careers in primary and secondary music teaching.",
Medicine and Health,72.55,,,Years,Armidale,,All students are required to undertake professional experience placements and must meet additional mandatory requirements prior to this. Students should not enrol in the course if they cannot meet these requirements. Students should commence these requirements prior to commencing the course. Failure to complete vaccinations or provide evidence of adequate seroconversion will result in the inability to complete clinical placement. ,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BNURS,Yes,University of New England,A,Yes,Australia,No,Bachelor of Nursing,Yes,ATAR,Years,6.0,BA,AUD,,The Bachelor of Nursing (BN) is offered On Campus and Online either Full-time or Part-time. Units are offered in all three trimesters allowing students to complete the course in two calendar years if they wish. Both On Campus and Online students participate in structured and timetabled learning activities.,
"Science and Agriculture, Business and Law",72.55,,,Years,Armidale,,All students are required to undertake professional experience placements and must meet additional mandatory requirements prior to this. Students should not enrol in the course if they cannot meet these requirements. Students should commence these requirements prior to commencing the course. Failure to complete vaccinations or provide evidence of adequate seroconversion will result in the inability to complete clinical placement. ,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BORGL,Yes,University of New England,A,Yes,Australia,No,Bachelor of Organisational Leadership,Yes,ATAR,Year,1.0,BA,AUD,,"This course takes advantage of the strengths of a business-oriented degree while meeting the contemporary organisational leadership needs of the 21st Century. The course is geared toward individuals who are preparing themselves to be leaders of tomorrow whether in government, church, military, statutory, non-profit or commercial organisations. This course recognises students' professional background by granting full credit for any previous studies, training and work experience, and thereby helping students take the step into tertiary education. The UNE Bachelor of Organisational Leadership brings together a highly structured, well-rounded program that concentrates on managerial issues ranging from leadership to organisational change, ethics and strategic planning. Choose from units that allows you to learn how to develop, structure and present successful business proposals or study communication between people of differing cultural backgrounds in different social and professional contexts. Alternatively, add a unit on accounting and finance for business or employment relations.",
Medicine and Health,80.00,,,Years,Armidale,,All students are required to undertake professional experience placements and must meet additional mandatory requirements prior to this. Students should not enrol in the course if they cannot meet these requirements. Students should commence these requirements prior to commencing the course. Failure to complete vaccinations or provide evidence of adequate seroconversion will result in the inability to complete clinical placement. ,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/HBPH1,Yes,University of New England,A,Yes,Australia,No,Bachelor of Pharmacy with Honours,Yes,ATAR,Years,4.0,HONS,AUD,,"Students enrolled in the Bachelor of Pharmacy with Honours will develop a strong foundation in basic and pharmaceutical sciences core skills which will be integrated with contemporary knowledge and application of pharmaceutics and pharmacy practice. Prior to the commencement of the third year, students are required to complete 100 hours of practical experience work in a pharmacy which will be integrated into their course work. In the fourth or final year of the degree students will be required to undertake approximately 200 hours of clinical placements in community and hospital pharmacies of which some placements will be outside normal university trimester times. Students will be encouraged to take these placements in rural and regional areas.",
Medicine and Health,72.55,,,Years,Armidale,,Professional recognition: A three-year sequence in psychology that is accredited by the Australian Psychology Accreditation Council.,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BPSYSC,Yes,University of New England,A,Yes,Australia,No,Bachelor of Psychological Science,Yes,ATAR,Year,1.0,BA,AUD,,Why study the Bachelor of Psychological Science at UNE?,
Medicine and Health,86.25,,,Years,Armidale,,Professional recognition: A three-year sequence in psychology that is accredited by the Australian Psychology Accreditation Council.,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/HBPSYC,Yes,University of New England,A,Yes,Australia,No,Bachelor of Psychology with Honours,Yes,ATAR,Year,1.0,HONS,AUD,,"The Bachelor of Psychology with Honours is our premier course designed for high-performing students who are aiming for a professional career in Psychology. It is an accredited, integrated, four-year Honours course that requires a high ATAR for initial entry [Rule (a)]; or admission only to the Honours year, based on a completed three-year Bachelor degree that includes a three-year sequence in Psychology that has been accredited by the Australian Psychology Accreditation Council [Rule (b)]*. However you can also transfer to this course from other courses, such as the Bachelor of Psychological Science, with sufficient grades in first and second year Psychology.",
"Science and Agriculture, Business and Law",77.10,,,Years,Armidale,,Professional recognition: A three-year sequence in psychology that is accredited by the Australian Psychology Accreditation Council.,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BRURSC,Yes,University of New England,A,Yes,Australia,No,Bachelor of Rural Science,Yes,ATAR,Years,4.0,BA,AUD,,"Providing food and fibre for growing populations in Australia and worldwide in a challenging climatic environment demands graduates capable of understanding and integrating whole agricultural systems. This degree produces graduates with the scientific and communication skills and confidence to solve practical agricultural problems at farm, catchment and national level. Students who complete a research project in the fourth year will be considered for the award of Honours.",
"Science and Agriculture, Business and Law",72.55,,,Years,Armidale,,"Exciting career options are possible in small to large business, industry, government, teaching and research for graduates of the Bachelor of Science. Opportunities include positions in computing, consulting, botanical and zoological gardens, museums, manufacturing, electronics, mining and oil, as well as in biochemical, chemical, clinical, engineering, forensic, medical, microbiological, physiological and physics laboratories. Teaching is also an option after completing a Master of Teaching or by completing the Bachelor of Education (Secondary Science). Research and postgraduate study are other common pathways for our BSc graduates, particularly after the completion of a 4th year of study (BSc(Honours)).",,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BSC,Yes,University of New England,A,Yes,Australia,No,Bachelor of Science,Yes,ATAR,Years,3.0,BA,AUD,,"The course is designed to provide students with the skills and techniques necessary for solving problems associated with a broad range of issues. The extensive range of majors available in established and emerging, generalist and specialist sciences, are all underpinned by cutting edge research. In first year students are encouraged to establish a broad science base which allows for flexibility in choosing an appropriate major or majors coupled with the option of a minor. The major completed will appear on the academic record and testamur. A fourth year is required for Honours.",
"Science and Agriculture, Business and Law",84.40,,,Years,Armidale,,At the completion of the five years you will have a range of employment options from which to choose.,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BSCLAW,Yes,University of New England,A,Yes,Australia,No,Bachelor of Science/Bachelor of Laws,Yes,ATAR,Years,5.0,BA,AUD,,"The University of New England offers a flexible approach to the study of law. UNE boasts one of Australia's largest law schools outside a capital city, as well as being an early adopter of innovative technology in the delivery of its law programs. The Bachelor of Laws is accredited by the Legal Profession Admission Board of NSW for admission as a legal practitioner in NSW and mutual recognition legislation extends admission to other Australian jurisdictions.",
"Science and Agriculture, Business and Law",57.70,,,Years,Armidale,,At the completion of the five years you will have a range of employment options from which to choose.,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BSCST,Yes,University of New England,A,Yes,Australia,No,Bachelor of Scientific Studies,Yes,ATAR,Years,3.0,BA,AUD,,This course is suitable for students who do not have an educational background in Sciences. The first year of study provides academic foundation knowledge and skills and achievement at introductory level. Students are able to exit with a Diploma in Science on completion of the first year and may articulate into other Science-based Bachelor degrees.,
Medicine and Health,72.55,,,Years,Armidale,,At the completion of the five years you will have a range of employment options from which to choose.,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BSOCSC,Yes,University of New England,A,Yes,Australia,No,Bachelor of Social Science,Yes,ATAR,Years,3.0,BA,AUD,,"You'll analyse contemporary social issues and challenges, and develop the skills, knowledge and capacity to make a real difference in the world with a Bachelor of Social Science from UNE. With a focus on social justice and human rights, social change, gender equality, community welfare, sustainability and cultural diversity, choose from 11 social science majors in a flexible course structure, including opportunities for on-the-job training. You'll develop vocational and scholarly skills, and learn how to conduct social research using a range of methods, techniques and technologies from world class social researchers. ",
Medicine and Health,72.55,,,Years,Armidale,,At the completion of the five years you will have a range of employment options from which to choose.,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BSOCWK,Yes,University of New England,A,Yes,Australia,No,Bachelor of Social Work,Yes,ATAR,Years,4.0,BA,AUD,,"The Bachelor of Social Work provides graduates with the theoretical and practical skills required to work as a professional social worker, an occupation that the Australian government predicts will continue to experience very strong growth. Graduates are eligible for membership of the Australian Association of Social Workers. UNE social work graduates typically work with disadvantaged and marginalised individuals, groups, and communities using a social justice and trauma-informed framework in counselling, advocacy, and community development to enhance people's health and well-being. Social workers address barriers, inequality and injustices faced by many groups, particularly those who are socially excluded. UNE's social work program embraces a framework that examines the dynamic interaction of human behaviour and complex social interactions and institutions. Covering all the core requirements of an accredited professional social work degree, the Bachelor of Social Work at UNE emphasises practice in rural and complex community environments, and focuses on rights-based practice, mental health, Indigenous peoples, child protection and the law. The course incorporates 1000 hours of professional fieldwork placement supervised by experienced practitioners in diverse social work settings locally and overseas. Students can suit their own learning needs and choose to study either on campus or online, with periodic compulsory intensive face-to-face classes for students who learn by distance.",
"Humanities, Arts, Social Sciences and Education",77.10,,,Years,Armidale,,"The course is structured to provide in the first year eight discipline units across the Primary Key Learning Areas, to ensure a spread of content background; successful completion of this first year also gives all students, irrespective of their educational backgrounds, the opportunity to demonstrate they meet the Government's academic standards for studying teaching.",,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BSIEP,Yes,University of New England,A,Yes,Australia,No,Bachelor of Special and Inclusive Education (Primary),Yes,ATAR,Years,4.0,BA,AUD,,"Teaching is a rewarding career choice for those who enjoy being part of children's development. The professional skills learned will be valued by the community and will bring teachers into contact with people of all ages. Teachers are members of one of the largest professions of our society. The degree will give students the opportunity to develop the skills, knowledge and attitudes needed to become a successful primary teacher, with a primary teaching specialisation as mandated by the Australian Institute for Teaching and School Leadership (AITSL), in English/Literacy in the Inclusive Classroom. Students are encouraged to be independent learners who are able to adapt efficiently and constructively to meet the changes which occur in the teaching profession.",
"Humanities, Arts, Social Sciences and Education",72.55,,,Years,Armidale,,"The Bachelor of Sustainability is an interdisciplinary degree that offers a solid academic grounding and vocational qualification. Career opportunities include positions in a wide range of public and private sector organisations, including roles as sustainability and environment officers, policy advisers, planning and research officers for state/federal government, government planning and environment departments, environmental protection agencies, cultural and natural heritage management, environmental conservation, land and water management, natural resource management, community development, commercial industry, environmental consultancies, mining, research careers with CSIRO, universities and industries.",,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BSUS,Yes,University of New England,A,Yes,Australia,No,Bachelor of Sustainability,Yes,ATAR,Years,3.0,BA,AUD,,"The Bachelor of Sustainability at UNE provides a unique opportunity to develop skills and an understanding of sustainability in a holistic manner, integrating the social sciences and humanities with the environmental sciences and natural resource management.",
"Humanities, Arts, Social Sciences and Education",72.55,,,Years,Armidale,,"The Bachelor of Sustainability is an interdisciplinary degree that offers a solid academic grounding and vocational qualification. Career opportunities include positions in a wide range of public and private sector organisations, including roles as sustainability and environment officers, policy advisers, planning and research officers for state/federal government, government planning and environment departments, environmental protection agencies, cultural and natural heritage management, environmental conservation, land and water management, natural resource management, community development, commercial industry, environmental consultancies, mining, research careers with CSIRO, universities and industries.",,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BTHP,Yes,University of New England,A,Yes,Australia,No,Bachelor of Theatre and Performance,Yes,ATAR,Years,3.0,BA,AUD,,This course is not offered in 2021.,
"Humanities, Arts, Social Sciences and Education",72.55,,,Years,Armidale,,"The Bachelor of Sustainability is an interdisciplinary degree that offers a solid academic grounding and vocational qualification. Career opportunities include positions in a wide range of public and private sector organisations, including roles as sustainability and environment officers, policy advisers, planning and research officers for state/federal government, government planning and environment departments, environmental protection agencies, cultural and natural heritage management, environmental conservation, land and water management, natural resource management, community development, commercial industry, environmental consultancies, mining, research careers with CSIRO, universities and industries.",,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BTD,Yes,University of New England,A,Yes,Australia,No,Bachelor of Training and Development,Yes,ATAR,Years,4.0,BA,AUD,,"The term 'Training and Development' describes the intersection of adult education and training with individual and organisational development. As such, this hybrid-type course provides cross-disciplinary expertise in the fields of education and business. Emphasis is placed on providing workplace trainers and developers with new tools to enhance professional development with increased managerial responsibilities. The UNE Bachelor of Training and Development has been designed to provide the cross-disciplinary expertise required by workplace trainers and supervisors with system level responsibilities or who are seeking to move into such positions. This course recognises your professional background by giving you full credit for your previous studies, training and work experience and helping you take the step into tertiary education. The UNE Bachelor of Training and Development aims to link training concerns with leadership and organisational development and to facilitate the effectiveness of individual trainers in a workplace environment. It also includes an advanced academic skills unit that helps students refine their writing and information literacy skills for tertiary study.",
"Humanities, Arts, Social Sciences and Education",72.55,,,Years,Armidale,,"The Bachelor of Sustainability is an interdisciplinary degree that offers a solid academic grounding and vocational qualification. Career opportunities include positions in a wide range of public and private sector organisations, including roles as sustainability and environment officers, policy advisers, planning and research officers for state/federal government, government planning and environment departments, environmental protection agencies, cultural and natural heritage management, environmental conservation, land and water management, natural resource management, community development, commercial industry, environmental consultancies, mining, research careers with CSIRO, universities and industries.",,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BURP,Yes,University of New England,A,Yes,Australia,No,Bachelor of Urban and Regional Planning,Yes,ATAR,Years,4.0,BA,AUD,,"This degree leads to a professional career in planning, with employment opportunities in both city and country. Planning is about designing places that will stand the test of time - not cost the earth. Planning is about working towards a more livable, more sustainable world. Planners need to be familiar with a wide range of issues and the degree provides a broad general education in all major areas of planning and urban design, including land use planning, social planning, economic planning, transport planning, environmental planning, professionalism and ethics, and environmental and planning law. Work experience is an important part of the program and means that students receive a hands-on education, opportunities to put their learning into practice and a head-start in terms of gaining on-the-job experience.",
"Science and Agriculture, Business and Law",72.55,,,Years,Armidale,,- prepare students for further study or employment across the wide range of disciplines within which zoology is critical; provide broad understanding of zoology for students who do not aspire to continue with employment in the area; and,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BZOOL,Yes,University of New England,A,Yes,Australia,No,Bachelor of Zoology,Yes,ATAR,Years,3.0,BA,AUD,,"Zoology is the science of studying and understanding animals living on land, in freshwater or in the sea. It is the branch of biology that covers behaviour, classification, evolution, conservation, distribution, ecology and natural history, but also includes biochemistry and physiology, palaeontology, molecular biology and genetics, and the structure and function of animals.",
"Science and Agriculture, Business and Law",72.55,,,Years,Armidale,,- prepare students for further study or employment across the wide range of disciplines within which zoology is critical; provide broad understanding of zoology for students who do not aspire to continue with employment in the area; and,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/DAGR,Yes,University of New England,N,Yes,Australia,No,Diploma in Agriculture,Yes,ATAR,Years,4.0,DIP,AUD,,This course will no longer be offered from 2021.,
"Humanities, Arts, Social Sciences and Education",72.55,,,Years,Armidale,,- prepare students for further study or employment across the wide range of disciplines within which zoology is critical; provide broad understanding of zoology for students who do not aspire to continue with employment in the area; and,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/DARTS,Yes,University of New England,A,Yes,Australia,No,Diploma in Arts,Yes,ATAR,Year,1.0,DIP,AUD,,"This course is designed to provide students with basic skills and knowledge in a range of disciplinary studies in the humanities, arts and social sciences. The Diploma in Arts examines historic, environmental, social, behavioural and cultural features of humanity, allowing students to analyse, reflect upon and anticipate patterns of human conduct. Students will develop creative, critical and analytical skills to assist with future employment or to pursue further study.",
"Science and Agriculture, Business and Law",72.55,,,Years,Armidale,,- prepare students for further study or employment across the wide range of disciplines within which zoology is critical; provide broad understanding of zoology for students who do not aspire to continue with employment in the area; and,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/DBUS,Yes,University of New England,A,Yes,Australia,No,Diploma in Business,Yes,ATAR,Year,1.0,DIP,AUD,,"Our Diploma in Business is not just a qualification; it will help you navigate the world of business across a range of industries and occupations. You will develop skills in creative thinking and critical analysis, communication and business decision making. You will be able to develop and lead ethical, social and environmental solutions to meet business challenges.",
Medicine and Health,72.55,,,Years,Armidale,,- prepare students for further study or employment across the wide range of disciplines within which zoology is critical; provide broad understanding of zoology for students who do not aspire to continue with employment in the area; and,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/DCWW,Yes,University of New England,A,Yes,Australia,No,Diploma in Community Welfare and Wellbeing,Yes,ATAR,Year,1.0,DIP,AUD,,This course is ideal for those coming direct from school or interested in building on existing industry experience and vocational qualifications in welfare and community service work and healthcare. ,
"Humanities, Arts, Social Sciences and Education",72.55,,,Years,Armidale,,- prepare students for further study or employment across the wide range of disciplines within which zoology is critical; provide broad understanding of zoology for students who do not aspire to continue with employment in the area; and,,Yes,Yes,Yes,,English,https://my.une.edu.au/courses/2020/courses/DEDS,Yes,University of New England,A,No,Australia,No,Diploma in Educational Studies,Yes,ATAR,Year,1.0,DIP,AUD,,This course is an Exit Award only for students who have completed 48 credit points from specified units in the Bachelor of Educational Studies or units in approved undergraduate initial teacher education degrees.,
"Science and Agriculture, Business and Law",72.55,,,Years,Armidale,,- prepare students for further study or employment across the wide range of disciplines within which zoology is critical; provide broad understanding of zoology for students who do not aspire to continue with employment in the area; and,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/DIT,Yes,University of New England,A,Yes,Australia,No,Diploma in Information Technology,Yes,ATAR,Year,1.0,DIP,AUD,,"Information technology and computing increasingly define how the world operates. Software permeates every area of modern living, from the smallest personal device to automating entire industries. Information Technology professionals are responsible for designing the software that runs so much of our lives, and for creating systems that handle and analyse incredible amounts of data.",
"Science and Agriculture, Business and Law",72.55,,,Years,Armidale,,- prepare students for further study or employment across the wide range of disciplines within which zoology is critical; provide broad understanding of zoology for students who do not aspire to continue with employment in the area; and,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/DLS,Yes,University of New England,A,No,Australia,No,Diploma in Legal Studies,Yes,ATAR,Year,1.0,DIP,AUD,,This course is an Exit Award only for students who have completed 48 credit points from specified units in undergraduate Law courses.,
"Humanities, Arts, Social Sciences and Education",72.55,,,Years,Armidale,,- prepare students for further study or employment across the wide range of disciplines within which zoology is critical; provide broad understanding of zoology for students who do not aspire to continue with employment in the area; and,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/DMLANG,Yes,University of New England,A,Yes,Australia,No,Diploma in Modern Languages,Yes,ATAR,Years,4.0,DIP,AUD,,"This course enables students to communicate and to become proficient in one language (Chinese, French, German, Italian, Indonesian, Japanese or Spanish) and culture. This gives graduates a competitive advantage in a variety of workplaces, whether in Australia or overseas. It is available as a stand-alone award or for students who are concurrently enrolled in a Bachelor course through UNE. ",
"Humanities, Arts, Social Sciences and Education",72.55,,,Years,Armidale,,,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/DMUS,Yes,University of New England,A,Yes,Australia,No,Diploma in Music,Yes,ATAR,Years,4.0,DIP,AUD,,This course was previously known as the Diploma in Music Skills.,
"Science and Agriculture, Business and Law",72.55,,,Years,Armidale,,,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/DMUTEC,Yes,University of New England,A,Yes,Australia,No,Diploma in Music Technology,Yes,ATAR,Years,4.0,DIP,AUD,,"The Diploma in Music Technology is a specialised course designed to develop skills and knowledge in Music Technology. It is ideally suited to musicians, artists, performers and music educators who wish to specialise in this field or update their knowledge on the latest/current music-related technologies.",
"Science and Agriculture, Business and Law",72.55,,,Years,Armidale,,,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/DPS,Yes,University of New England,A,Yes,Australia,No,Diploma in Paralegal Studies,Yes,ATAR,Year,1.0,DIP,AUD,,"The Diploma in Paralegal Studies course provides students with the opportunity to complete a course dedicated to preparatory skills and studies in law, regardless of their educational background.",
"Humanities, Arts, Social Sciences and Education",72.55,,,Years,Armidale,,,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/DPCOM,Yes,University of New England,A,Yes,Australia,No,Diploma in Professional Communication,Yes,ATAR,Years,4.0,DIP,AUD,,"The Diploma in Professional Communication provides a range of knowledge and skills in professional communication including written, spoken and analytical skills. The course is ideal for working professionals seeking additional experience and qualifications to assist them in their professional roles and progress their career.",
"Humanities, Arts, Social Sciences and Education",72.55,,,Years,Armidale,,,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/DPA,Yes,University of New England,N,Yes,Australia,No,Diploma in Professional Communication,Yes,ATAR,Years,4.0,DIP,AUD,,This course will no longer be offered from 2021. ,
