Level_Code,University,City,Course,Faculty,Local_Fees,Int_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes/path,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
BA,University of Southern Queensland,Toowoomba,Bachelor of Engineering Science Major Agricultural Engineering,Agriculture and Environment,24480,33360,AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,,6.5,Year 12,https://www.usq.edu.au:443/study/degrees/bachelor-of-engineering-science/agricultural-engineering,English,A,"Engage in highly practical, relevant and rigorous coursework, linked to the world-class research centre in Agricultural Engineering.","With a huge shortage in skilled Agricultural professionals, you have the potential to secure a position as an Engineering Technologist, Agricultural Scientist, Technical Officer, Agricultural Engineer or Sales and Support Consultant and work in a challenging, but influential area of the engineering world.",Australia,Yes,Yes,Yes,Yes,No,
BA,University of Southern Queensland,Ipswich,Bachelor of General Studies,Agriculture and Environment,25280,30400,AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,,6.5,Year 12,https://www.usq.edu.au:443/study/degrees/bachelor-of-general-studies,English,A,"This degree is ideal for those who may have left school, but want to sample a range of university subjects before starting a more specialised degree.",General Studies can lead to any career enhanced by a tertiary qualification.,Australia,Yes,Yes,Yes,Yes,No,
BA,University of Southern Queensland,Toowoomba,Bachelor of General Studies,Agriculture and Environment,25280,30400,AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,,6.5,Year 12,https://www.usq.edu.au:443/study/degrees/bachelor-of-general-studies,English,A,"This degree is ideal for those who may have left school, but want to sample a range of university subjects before starting a more specialised degree.",General Studies can lead to any career enhanced by a tertiary qualification.,Australia,Yes,Yes,Yes,Yes,No,
GCERT,University of Southern Queensland,Toowoomba,Graduate Certificate of Engineering Practice,Agriculture and Environment,13520,14560,AUD,Years,6.0,Months,Yes,Yes,ATAR,IELTS,Equivalent ,,6.5,Year 12,https://www.usq.edu.au:443/study/degrees/graduate-certificate-of-engineering-practice,English,A,"If you want to extend your knowledge within a certain engineering field and already have a three-year bachelor degree in engineering, science, or technology, USQ’s Graduate Certificate of Engineering Practice is a great stepping-stone to further your career.",Graduates who continue on to study and graduate from the Master of Engineering Practice may be eligible to become a professional engineer. ,Australia,Yes,Yes,Yes,Yes,No,
GCERT,University of Southern Queensland,Toowoomba,Graduate Certificate of Engineering Science  Specialisation Agricultural Engineering,Agriculture and Environment,13520,16760,AUD,Years,6.0,Months,Yes,Yes,ATAR,IELTS,Equivalent ,,6.5,Year 12,https://www.usq.edu.au:443/study/degrees/graduate-certificate-of-engineering-science/agricultural-engineering,English,A,"USQ is the only provider of agricultural engineering degrees in Australia and New Zealand, and we have links to world class research with the Centre for Agricultural Engineering.","As an agricultural engineering graduate, you will have the expertise required to work in the areas of agriculture, irrigation, intensive livestock, processing, transport, forestry, water supply, soil conservation, environmental protection and water conservation both in Australia and overseas.",Australia,Yes,Yes,Yes,Yes,No,
GDIP,University of Southern Queensland,Toowoomba,Graduate Diploma of Engineering Science  Specialisation Agricultural Engineering,Agriculture and Environment,27040,33520,AUD,Years,1.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,,6.5,Year 12,https://www.usq.edu.au:443/study/degrees/graduate-diploma-of-engineering-science/agricultural-engineering,English,A,"USQ is the only provider of agricultural engineering degrees in Australia and New Zealand, and we have links to world class research with the Centre for Agricultural Engineering.","As an agricultural engineering graduate, you could work in agriculture, irrigation, intensive livestock, processing, transport, forestry, water supply, soil conservation, environmental protection and water conservation both in Australia and overseas.",Australia,Yes,Yes,Yes,Yes,No,
MST,University of Southern Queensland,Toowoomba,Master of Engineering Science  Specialisation Agricultural Engineering,Agriculture and Environment,27040,33520,AUD,Years,2.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,,6.5,Year 12,https://www.usq.edu.au:443/study/degrees/master-of-engineering-science/agricultural-engineering,English,A,"USQ is the only provider of Agricultural Engineering degrees in both Australia and New Zealand, and has links to the world class research centre – Centre for Agricultural Engineering.","As an agricultural engineer your career pathway could lead you to work in a laboratory, research station, forest or farm. You will be well-placed to research and develop solutions to conserve the world’s natural resources.",Australia,Yes,Yes,Yes,Yes,No,
DOC,University of Southern Queensland,Ipswich,Doctor of Philosophy,Agriculture and Environment,27840,28800,AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,,6.5,Year 12,https://www.usq.edu.au:443/study/degrees/doctor-of-philosophy,English,A,Do you have a passion for research? The Doctor of Philosophy (PhD) is a research degree available in all study areas and provides you with the skills to become an effective researcher in your previously studied discipline.,"Graduating with a Doctor of Philosophy is ideal if you wish to pursue a career in industry, academia or government with specialisation in your chosen field.",Australia,Yes,Yes,Yes,Yes,No,
DOC,University of Southern Queensland,Toowoomba,Doctor of Philosophy,Agriculture and Environment,27840,28800,AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,,6.5,Year 12,https://www.usq.edu.au:443/study/degrees/doctor-of-philosophy,English,A,Do you have a passion for research? The Doctor of Philosophy (PhD) is a research degree available in all study areas and provides you with the skills to become an effective researcher in your previously studied discipline.,"Graduating with a Doctor of Philosophy is ideal if you wish to pursue a career in industry, academia or government with specialisation in your chosen field.",Australia,Yes,Yes,Yes,Yes,No,
DOC,University of Southern Queensland,Ipswich,Doctor of Philosophy,Agriculture and Environment,27840,28800,AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,,6.5,Year 12,https://www.usq.edu.au:443/study/degrees/doctor-of-philosophy,English,A,Do you have a passion for research? The Doctor of Philosophy (PhD) is a research degree available in all study areas and provides you with the skills to become an effective researcher in your previously studied discipline.,"Graduating with a Doctor of Philosophy is ideal if you wish to pursue a career in industry, academia or government with specialisation in your chosen field.",Australia,Yes,Yes,Yes,Yes,No,
